ef,mol_inhrr,mol_cima,score
E.F.1.129,ACIDO ACETILSALICILICO,Acetilsalicilico Acido,1.0
E.F.1.466,INSULINA GLARGINA,Insulina Glargina,1.0
E.F.10.091,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.10.091,NICOTINAMIDA,Nicotinamida,1.0
E.F.10.273,ACETAMINOFEN,Acetaminofen,1.0
E.F.10.432,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.11.043,MENTOL,Mentol,1.0
E.F.11.043,ALCANFOR,Alcanfor,1.0
E.F.11.043,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.11.427,DIPIRONA,Dipirona,1.0
E.F.11.613,AMITRIPTILINA CLORHIDRATO,Amitriptilina,1.0
E.F.11.695,CLORDIAZEPOXIDO,Clordiazepoxido,1.0
E.F.11.791,DIPIRONA,Dipirona,1.0
E.F.12.003,VITAMINA C,Vitamina C,1.0
E.F.12.003,VITAMINA D3,Vitamina D3,1.0
E.F.12.003,VITAMINA A,Vitamina A,1.0
E.F.12.314,HIDROXIDO DE MAGNESIO,Magnesio Hidroxido,1.0
E.F.12.314,HIDROXIDO DE ALUMINIO,Aluminio Hidroxido,1.0
E.F.12.345,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.12.345,ALCANFOR,Alcanfor,1.0
E.F.12.592,SIMETICONA,Simeticona,1.0
E.F.12.601,PEROXIDO DE HIDROGENO,Peroxido De Hidrogeno,1.0
E.F.12.654,CLORURO DE SODIO,Calcio Cloruro,1.0
E.F.12.676,ACIDO ASCORBICO,Ascorbico Acido,1.0
E.F.13.198,DIPIRONA,Dipirona,1.0
E.F.13.352,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.13.352,CLORHIDRATO DE PIRIDOXINA,Piridoxina,1.0
E.F.13.352,CLORHIDRATO DE TIAMINA,Tiamina,1.0
E.F.13.354,NAFAZOLINA NITRATO,Nafazolina,1.0
E.F.13.521,CLORURO DE SODIO,Calcio Cloruro,1.0
E.F.13.615,VITAMINA B12,Vitamina B12,1.0
E.F.13.615,VITAMINA C,Vitamina C,1.0
E.F.13.741,PIPERACILINA,Piperacilina,1.0
E.F.14.109,SULFAMETIZOL,Sulfametizol,1.0
E.F.14.318,TOLNAFTATO,Tolnaftato,1.0
E.F.14.450,CARBAMAZEPINA,Carbamazepina,1.0
E.F.14.458,ACETAMINOFEN,Acetaminofen,1.0
E.F.14.568,FUROSEMIDA,Furosemida,1.0
E.F.14.734,CICLOFOSFAMIDA,Ciclofosfamida,1.0
E.F.14.735,CICLOFOSFAMIDA,Ciclofosfamida,1.0
E.F.14.757,ACIDO ASCORBICO,Ascorbico Acido,1.0
E.F.14.775,CODEINA,Codeina,1.0
E.F.14.839,PROPRANOLOL,Propranolol,1.0
E.F.14.878,ACIDO ASCORBICO,Ascorbico Acido,1.0
E.F.14.951,DIAZEPAM,Diazepam,1.0
E.F.14.952,DIAZEPAM,Diazepam,1.0
E.F.15.386,DIAZEPAM,Diazepam,1.0
E.F.15.764,HIDROXIDO DE ALUMINIO,Aluminio Hidroxido,1.0
E.F.15.805,SALICILAMIDA,Salicilamida,1.0
E.F.15.805,DIPIRONA,Dipirona,1.0
E.F.15.830,LIDOCAINA,Lidocaina,1.0
E.F.15.894,CLORTALIDONA,Clortalidona,1.0
E.F.16.002,ALOPURINOL,Alopurinol,1.0
E.F.16.064,NITROFURANTOINA,Nitrofurantoina,1.0
E.F.16.065,NITROFURANTOINA,Nitrofurantoina,1.0
E.F.16.114,BETAMETASONA,Betametasona,1.0
E.F.16.167,GENTAMICINA,Gentamicina,1.0
E.F.16.167,BETAMETASONA,Betametasona,1.0
E.F.16.175,CLORHIDRATO DE LIDOCAINA,Lidocaina,1.0
E.F.16.175,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,1.0
E.F.16.242,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,1.0
E.F.16.263,DIPIRONA,Dipirona,1.0
E.F.16.293,NITROFURAZONA,Nitrofurazona,1.0
E.F.16.357,ACETATO DE ALUMINIO,Aluminio,1.0
E.F.16.429,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.16.429,NIACINAMIDA,Niacinamida,1.0
E.F.16.712,ACIDO FOLICO,Folico Acido,1.0
E.F.16.799,CLORURO DE DECUALINIO,Decualinio Cloruro,1.0
E.F.16.799,LIDOCAINA,Lidocaina,1.0
E.F.16.825,ERITROMICINA,Eritromicina,1.0
E.F.16.930,MEDROXIPROGESTERONA,Medroxiprogesterona,1.0
E.F.17.072,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.17.224,CODEINA,Codeina,1.0
E.F.17.280,ALANTOINA,Alantoina,1.0
E.F.17.398,HIDROXOCOBALAMINA,Hidroxocobalamina,1.0
E.F.17.492,CAFEINA,Cafeina,1.0
E.F.17.492,ACETAMINOFEN,Acetaminofen,1.0
E.F.17.523,NICOTINAMIDA,Nicotinamida,1.0
E.F.17.523,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.17.596,FLURAZEPAM,Flurazepam,1.0
E.F.17.597,FLURAZEPAM,Flurazepam,1.0
E.F.17.712,VITAMINA B6 (CLORHIDRATO DE PIRIDOXINA),(+)-tetrabenazina,nan
E.F.18.142,CLORHIDRATO DE OXIMETAZOLINA,Oximetazolina,1.0
E.F.18.143,CLORHIDRATO DE OXIMETAZOLINA,Oximetazolina,1.0
E.F.18.281,ACIDO ASCORBICO,Ascorbico Acido,1.0
E.F.18.281,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.18.498,SIMETICONA,Simeticona,1.0
E.F.18.565,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.18.572,SULFAMETOXAZOL,Sulfametoxazol,1.0
E.F.18.573,SULFAMETOXAZOL,Sulfametoxazol,1.0
E.F.18.961,ACETAMINOFEN,Acetaminofen,1.0
E.F.19.054,BENCIDAMINA CLORHIDRATO,Bencidamina,1.0
E.F.19.099,NICOTINAMIDA,Nicotinamida,1.0
E.F.19.099,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.19.146,IBUPROFENO,Ibuprofeno,1.0
E.F.19.149,IBUPROFENO,Ibuprofeno,1.0
E.F.19.260,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.19.268,DIAZEPAM,Diazepam,1.0
E.F.19.288,ACETAMINOFEN,Acetaminofen,1.0
E.F.19.328,BENCIDAMINA CLORHIDRATO,Bencidamina,1.0
E.F.19.328,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,1.0
E.F.19.329,LIDOCAINA,Lidocaina,1.0
E.F.19.329,BENCIDAMINA CLORHIDRATO,Bencidamina,1.0
E.F.19.402,MENTOL,Mentol,1.0
E.F.19.402,ALCANFOR,Alcanfor,1.0
E.F.19.402,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.19.620,ACETAMINOFEN,Acetaminofen,1.0
E.F.19.621,ACETAMINOFEN,Acetaminofen,1.0
