mol_inhrr,veces
CLORURO DE SODIO,111
CLORURO DE POTASIO,40
CITRATO DE SODIO DIHIDRATO,24
N-BUTILBROMURO DE HIOSCINA,24
CARBONATO DE CALCIO,16
LACTATO DE SODIO,13
CLORURO DE CALCIO DIHIDRATADO,9
BICARBONATO DE SODIO,8
AGUA DESTILADA,7
SULFADIAZINA DE PLATA,7
CITRATO DE CALCIO,6
CITRATO DE POTASIO MONOHIDRATO,6
ACEBROFILINA,5
FUMARATO FERROSO,5
MEROPENEM TRIHIDRATADO,5
POLIETILENGLICOL 3350,5
ATORVASTATINA CALCICA TRIHIDRATADA,4
CALCIO,4
CITRATO DE POTASIO,4
DEXTROSA MONOHIDRATADA,4
VONOPRAZAN,4
CLORHIDRATO DE ONDANSETRON DIHIDRATADO,3
EXTRACTO ACUOSO DE TRITICUM VULGARE,3
FOSFATO DE SODIO DIBASICO,3
IODOPOVIDONA,3
LISINOPRIL DIHIDRATADO,3
NITROFURANTOINA MACROCRISTALES,3
PROPILENGLICOL,3
AFATINIB DIMALEATO,2
AGUA PURIFICADA,2
CITRATO DE CALCIO TETRAHIDRATADO,2
CITRATO DE SODIO,2
CITRATO DE SODIO DIHIDRATADO,2
COMPLEJO DE SACARATO FERRICO,2
ENANTATO DE NORETISTERONA,2
FOSFATO DE POTASIO MONOBASICO,2
FOSFATO DIBASICO DE SODIO,2
GLUCONATO FERROSO,2
IBUPROFENO DC 90,2
LEUCOVORINA CALCICA,2
MINOXIDIL USP,2
N-ACETILCISTEINA,2
NITAXOZANIDA,2
PROPINOX,2
SULTAMICILINA TOSILATO DIHIDRATADA,2
ACEITE DE HIGADO DE BACALAO,1
ACIDO POLIACRILICO,1
AEROSIL,1
ALMIDON DE MAIZ,1
AMOXICILINA TRIHIDRATO- CLAVULANATO DE POTASIO 7:1,1
ANTIPIRINA,1
CEFOPERAZONE SODICO,1
CETOMACROGOL 1000,1
"CITRATO DE FENTANILO 78,5 MCG/ ML",1
CITRATO DE SILDENAFIL  EQUIVALENTE A  50 MG DE SILDENAFIL,1
CLOROCRESOL,1
COLORANTE AZUL BRILLANTE FCF,1
DEXTRANO,1
DEXTROSA ANHIDRA CRISTAL,1
DINITRILO DEL ACIDO SUCCINICO,1
EDETATO DISODICO,1
ESTREPTOQUINASA RECOMBINANTE,1
FORMOTEROL FUMARATO DIHIDRATADO,1
FOSFATO DE SODIO DIBASICO ANHIDRO,1
FOSFATO DE SODIO MONOBASICO ANHIDRO,1
GLUCONATO DE POTASIO,1
GLUCOSIDOS OXIMETIL ANTRAQUINONICOS,1
HIERRO ELEMENTAL,1
LIDOCAINA BASE,1
NEPIDERMINA,1
"PREGABALINA AL 83,33% MEZCLA PARA ENCAPSULAR",1
SUCRALFATO POLVO,1
TEOFILINATO DE AMBROXOL,1
TESTOSTERONA ISOCAPROATO,1
VACUNA SINTETICA CONJUGADA CONTRA EL HAEMOPHILUS INFLUENZAE TIPO B,1
VITAMINA A PALMITATO,1
ZINC GLUCONATE,1
