mol_inhrr,mol_cima,score,veces
KETOROLAC TROMETAMINA,Ketorolaco Trometamol,0.814,12
DESONIDA,Budesonida,0.8,10
BROMURO DE VECURONIO,Rocuronio,0.778,8
DICLOFENAC DIETILAMONIO,Diclofenaco Dietilamina,0.83,8
OXACILINA,Cloxacilina,0.818,6
OXOLAMINA CITRATO,Doxilamina,0.8,5
SIBUTRAMINA,Bisibutiamina,0.769,5
BENZOATO DE BENCILO,Benzoato Sodio,0.75,4
CEFALOTINA,Cefalexina,0.8,4
HIALURONATO DE SODIO,Hialuronico Acido,0.818,4
SUBCARBONATO DE BISMUTO,Bismuto Subcitrato,0.792,4
DICLOXACILINA,Cloxacilina,0.846,3
ISOCONAZOL,Tioconazol,0.8,3
KANAMICINA,Ansamicina,0.8,3
SUBSALICILATO DE BISMUTO,Bismuto Subcitrato,0.769,3
AMINOFILINA,Aminosidina,0.818,2
CIMETIDINA,Citidina,0.8,2
CLAVULANATO DE POTASIO+CELULOSA MICROCRISTALINA 1:1,Clavulanato Potasio Diluido Con Celulosa Microcristalina,0.75,2
GATIFLOXACINA,Nadifloxacino,0.769,2
PROTEINA FERRICA,Proteinas,0.889,2
ALCOHOL CETILESTEARILICO,Cinamilico Alcohol,0.75,1
ALCOHOL POLIVINILICO,Alcohol Pantotenilico,0.769,1
BETACAROTENO,Bexaroteno,0.75,1
CARBACOL,Carbopol,0.75,1
CEFTAZIDIMA PENTAHIDRATADA,Ceftazidima Pentahidrato,0.893,1
DACTINOMICINA,Daptomicina,0.769,1
DICLOFENAC COLESTIRAMINA,Diclofenaco Dietilamina,0.762,1
DIVALPROATO DE SODIO,Valproato Sodio,0.818,1
FACTOR VIII DE COAGULACION HUMANO,Factor Viii Humano,0.818,1
FENIRAMINA,Mepiramina,0.8,1
HEXAMIDINA,Hexetidina,0.8,1
LACTASA,Lactosa,0.857,1
MESILATO DE DIHIDROERGOTAMINA,Dihidroergocristina Mesilato,0.868,1
PARAFINA LIQUIDA LIGERA,Parafina Liquida,0.81,1
PENICILINA G PROCAINICA,Penicilina G,0.8,1
POLIETILENGLICOL 400,Polietilenglicol 4000,0.875,1
SUCROSA DE HIERRO,Hierro Sacarosa,0.875,1
SULFACETAMIDA,Sulfanilamida,0.769,1
TESTOSTERONA FENILPROPIONATO,Testosterona Propionato,0.833,1
