descripcion,costo_usd,ef,pa_drovencentro,score
ACIDO BORICO CAP VAG 400MG X10 LYA,5.35,E.F.21.870,ACIDO BORICO 400MG,0.761
ACRYLARM GEL OFT 10G MEG,27.40,E.F.32.679,ACIDO POLIACRILICO  0.2% 10GR,0.880
ACTICAR JBE 1G/10ML X 120ML,7.94,E.F.33.435,L-CARNITINA,0.784
"ADAPALENO GEL TOP 0,1% 15G HM",1.95,E.F.G.43.334,"ADAPALENO 0,1%",0.894
AEROFLAT GTS 80MG/ML 20ML COFA,6.02,E.F.35.935,SIMETICONA  80MG/ML,0.862
AIRFEN GTS AD 15ML COFA,5.72,E.F.43.679,OXIMETAZOLINA CLORHIDRATO 0.05%,0.791
AIRFEN GTS PED 15ML COFA,5.72,E.F.43.679,OXIMETAZOLINA CLORHIDRATO 0.05%,0.791
ALBENDAZOL SUSP 100MG/5ML 20ML PORTU,2.73,E.F.G.43.846,ALBENDAZOL 100MG/5ML,0.878
ALBENDAZOL TAB MAST T/FRUTTI 200MGX2 CLX,1.18,E.F.G.35.027,ALBENDAZOL 200MG,0.814
"ALILUB SOL OFT 1,4 % 15ML PHARME",7.12,E.F.43.324,"ALCOHOL POLIVINILICO 1,4% OFTA",0.750
ALLERFEX TAB REC 120MG X10 PHARME,7.10,E.F.34.071,FEXOFENADINA 120MG 10TAB,0.819
AMBROXOL JBE PED 15MG/120ML KIMIC,3.17,E.F.G.29.182,AMBROXOL 15MG/5ML,0.863
AMOXIDUO PVO SUSP 750MG 70ML MEG,11.56,E.F.31.275,AMOXICILINA,0.888
ANALPER NAX CAP 250MG X10 PHARME,3.87,E.F.34.809,NAPROXENO 250MG 10TAB,0.825
ANAPIR CAP BLD S/AZU 400MG X10 FC,3.14,E.F.41.681,IBUPROFENO,0.817
ANGIOFLUX CAP BLD 250LSU X25 LETI,69.22,P.B.1.482,SULODEXIDA 250LSU,0.847
ANTOVEN TAB 15MG X30 FC,15.56,E.F.G.43.734,ARIPIPRAZOL 15MG,0.790
APIRETFLU SOB 8G NOCH MIEL/LIMON X6 LO,10.14,E.F.43.632,ACETAMINOFEN- CLORFENIRAMINA-CAFEINA,0.777
APRIX CAP BLD 125MG X10 PLN,5.97,E.F.38.633,SIMETICONA,0.834
APROVEL COMP REC 150MG X28 CLX,40.26,E.F.31.240,IRBESARTAN 150MG,0.853
APYRENE CAP BLD 650MG X10 FC,3.43,E.F.34.821,ACETAMINOFEN,0.811
ASPIANDEX TAB REC 81MG X30 PLX,3.18,E.F.44.038,ACIDO ACETILSALICILICO 81MG,0.817
ATAMEL JBE PED 120MG/5ML 120ML CLX,3.78,E.F.24.736,ACETAMINOFEN,0.866
ATAMEL JBE PED 120MG/5ML 60ML CLX,2.03,E.F.24.736,ACETAMINOFEN,0.861
ATAPEC COMP REC 25MG X30 FC,4.92,E.F.44.711,QUETIAPINA 25MG,0.818
ATOVAROL CAP BLD 20MG X30 VIV,6.87,E.F.37.481,ATORVASTATINA 20MG 30CAPS BLANDAS,0.838
ATRIZINA COMP REC 500MG X5 RNV,5.63,E.F.G.31.564,AZITROMICINA 500MG,0.819
"AVOST SOL OFT 0,004% 3ML CAPSUV",13.36,E.F.43.792,TRAVOPROST 0.004%,0.874
AZITROMICINA TAB/REC 500MG X 3 LA SANTE,2.27,E.F.G.36.689,AZITROMICINA 500MG,0.809
"BEDEX SOL BUCAL 0,15% 120ML PLX",4.97,E.F.42.975,"BENCIDAMINA CLORHIDRATO  0,15% SOL TOP BUCAL 120ML",0.747
"BETAPLUS CREM 0,05% 20G PORTU",2.99,E.F.40.374,"BETAMETASONA 0,05%",0.882
"BETASKIN CREM TOP 0,05% 15G TIAR",2.51,E.F.40.374,BETAMETASONA  0.05%,0.872
BETASOL UNG 30G SEF,5.78,E.F.G.36.242,PROPINATO DE CLOBETASOL,0.780
BIOFENIT AMP IV/IM 250MG/5ML X10 CR BIO,12.64,E.F.G.35.889,FENITOINA SODICA 250MG,0.797
BIOSONA PVO LIOFIZ VIAL 500MG X1 CR BIO,12.53,E.F.37.882,METILPREDNISOLONA 500MG,0.802
BIOTIC HC SOL 1% X5ML CR BIO,8.23,E.F.31.588,CIPROFLOXACINA HIDROCORTISONA,0.781
BIRGIT PLUS COM/REC 50MG/1000MG X 30,28.18,E.F.43.492,METFORMINA CLORHIDRATO 50MG + SITAGLIPTINA  850MG,0.845
BIRGIT PLUS COMP REC 50MG/500MG X30 MEG,23.12,E.F.43.492,METFORMINA CLORHIDRATO 50MG + SITAGLIPTINA  850MG,0.870
BIRGIT PLUS COMP REC 50MG/850MG X30 MEG,28.57,E.F.43.492,METFORMINA CLORHIDRATO 50MG + SITAGLIPTINA  850MG,0.878
"BISOBLOC/HCT TAB 10MG/6,25MG X30 GFARM",16.48,E.F.43.578,FURMATO DE BISOPROLOL  10MG  30TAB,0.729
BLOKXA TAB REC 20MG X28 CLX,17.82,E.F.42.416,RIVAROXABAN  20MG,0.841
BONAC GEL 4% 30G MEG,18.44,E.F.32.078,ERITROMICINA,0.900
"BRIMOPRESS SOL OFT 0,2% 5ML MEG",14.68,E.F.40.814,TARTRATO DE BRIMONIDINA,0.873
BRIXIA SOL/OFT X 6ML,12.86,E.F.32.168,"AZELASTINA 0,05%  6ML",0.820
BUDESONIDA INH PED 50MCG X200DOSIS MDF,21.27,E.F.G.32.411,BUDESONIDA 50MCG,0.852
BUTILATT TAB 10MG X10 CR LATT,5.19,E.F.G.43.037,BUTILBROMURO DE HIOSCINA 10MG  10TAB,0.820
CAMOLYN PLUS SOL OFT 15ML,5.02,E.F.G.44.027,NAFAZOLINA CLORHIDRATO,0.788
"CARVEDILOL TAB REC 12,5 MGS X30 PHARMA",2.54,E.F.G.35.571,"CARVEDILOL 12,5MG",0.869
"CARVEDILOL TAB REC 6,25MG X20 KIMIC",3.39,E.F.G.35.572,"CARVEDILOL 6,25 MG",0.858
CEBION TAB MAST TROPI 500MG DISP12X12FAR,51.90,E.F.G.44.099,VITAMINA C,0.800
