descripcion,costo_usd,ef,pa_drovencentro,score
ACETAB TAB 250MG X20 L.O,14.37,E.F.36.867,ACETAZOLAMINA 250MG,0.000
ACEVAL SOL PED 180MG/5ML 120ML VLM,4.36,E.F.42.976,ACETAMINOFEN 180MG/5ML,0.000
ACLER TAB REC 150MG X1 CLX,3.97,E.F.G.38.066,ACIDO IBANDRONICO,0.000
"ACTUMIR DUO TAB REC 12,5MG/1000MG X30",19.35,E.F.44.457,EMPAGLIFLOZINA 12.5MG METFOMINA 1000MG,0.000
AFLAMAX TAB REC 50MG X10 L.O,2.86,E.F.36.828,DICLOFENAC POTASICO 50MG,0.000
AFLAMAX TAB REC 50MG X20 L.O,4.36,E.F.36.828,DICLOFENAC POTASICO 50MG,0.000
"AIRCOF PLUS TAB MAST 5MG/2,5MG X30 COFA",5.66,E.F.43.879,MONTELUKAST 5MG,0.000
AIRCOF PLUS TAB REC 10MG/5MG X30 COFA,6.45,E.F.43.889,MONTELUKAST 10MG,0.000
AIRCOF TAB MAST 10MG X30 COFA,6.45,E.F.43.889,MONTELUKAST 10MG,0.000
AIRCOF TAB MAST 5MG X30 COFA,5.07,E.F.43.879,MONTELUKAST 5MG,0.000
AIRON DUO TAB REC 10MG/5MG L.O.,6.09,E.F.33.783,MONTELUKAST 10MG,0.000
AIRON TAB REC 10MG X30 L.O,10.37,E.F.33.783,MONTELUKAST 10MG,0.000
ALERGOT SOL OFT 0.05% 5ML L.O,13.21,E.F.33.876,AZELASTINA CLORHIDRATO 0.050%,0.000
"ALFADYN SOL OFT 0,20% 5ML L.O",16.73,E.F.35.409,BRIMONIDINA 0.2%,0.000
ALIVAX FORTE CAP BLD 650MG X10 VIV,3.23,E.F.34.933,ACETAMINOFEN 650MG 10CAPS BLANDAS,0.000
ALIVET COMP DIAX8/NOCHX4 LETI,9.76,E.F.43.815,ACETAMINOFEN/CAFEINA/CLORF MALEAT,0.000
ALIVET FA COM/REC X 10,8.81,E.F.43.815,ACETAMINOFEN/CAFEINA/CLORF MALEAT,0.000
ANTAAR TAB REC 10MG X30 CLX,10.53,E.F.39.619,BISOPROLOL 10MG 30,0.000
ANTIFOM FORTE COMP REC 160MG X10 VARG,7.56,E.F.40.192,SIMETICONA 160MG,0.000
APIRETFLU SOB 8G DIA MIEL/LIMON X6 LO,9.86,E.F.42.943,ACETAMINOFEN- CLORFENIRAMINA-CAFEINA,0.000
APLACAL TAB MAST 750MG BAN X80 TARRO,13.61,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST 750MG FRAM DISPX120 MEY,72.34,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST 750MG FRAMB X80 TARRO,13.61,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST 750MG MAND DISPX120 MEY,72.34,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST 750MG MANDA X10 MEY,9.36,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST 750MG MANDA X80 TARRO,13.61,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST 750MG MENTA X80 TARRO,13.61,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST 750MG SURT X80 SIEG,13.61,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST BAN 750MG DISP 30X4 MEY,72.34,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST BAN 750MG X10 MEY,9.36,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST MENT 750MG DISPX120 MEY,72.34,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLACAL TAB MAST MENTA 750MG X10 MEY,9.36,E.F.42.366,CARBONATO DE CALCIO (ANTIACIDO),0.000
APLEXIL TAB REC 550MG X10 COFA,3.27,E.F.43.975,NAPROXENO 550,0.000
ARUDIL TAB REC 20MG X10 FAR,8.25,E.F.41.488,RIVAROXABAN 20MG,0.000
ARUDIL TAB REC 20MG X30 FAR,24.25,E.F.41.488,RIVAROXABAN 20MG,0.000
ASARAP COMP/REC 15 MG X 30,33.84,E.F.42.248,RIVAROXABAN 15MG,0.000
ASARAP COMP/REC 20 MG X 30,34.97,E.F.42.294,RIVAROXABAN 20MG,0.000
ASCAFYL GRAG X10 MEY,4.74,E.F.31.150,ACETAMINOFEN,0.000
AUPREL COMP/REC 90MG X 20,24.34,E.F.42.005,TICAGRELOR 90MG,0.000
AXOKINE COMP REC 400G X5 LETI,73.18,E.F.33.902,MOXIFLOXACINA 400MG 5COMP,0.000
BARGONIL UNG 2% 30G MEG,26.23,E.F.27.531,TRIBENOSIDO,0.000
BARGONIL UNG RECTAL 10G MEG,13.64,E.F.27.531,TRIBESONIDO,0.000
BONAMES TAB REC 150MG FAR,4.36,E.F.37.009,ACIDO IBANDRONICO 150MG,0.000
BRAL TAB 500MG BLIS 25X4 BIOTECH,27.52,E.F.16.263,DIPIRONA 500MG,0.000
BRESIS COMP REC 600MG X20 MEG,8.96,E.F.43.812,DIOSMINA 600MG,0.000
BRESIS COMP REC 600MG X30 MEG,12.21,E.F.43.812,DIOSMINA 600MG,0.000
BROFLEMA SOL ORAL 4MG/5ML PED 120ML BIOT,3.78,E.F.43.576,BROMEXINA 4MG/5ML,0.000
BROLAT JBE 5MG/30MG 60ML MEY,6.68,E.F.40.193,LORATADINA + AMBROXOL  5MG/30MG,0.000
BRUDOL COMP REC 200MG/65MG X20 ELM,3.97,E.F.41.040,IBUPROFENO-CAFEINA 200MG/65MG 20COM,0.000
BRUDOL COMP REC 400MG/65MG X20 ELM,4.58,E.F.40.856,IBUPROFENO-CAFEINA 400MG/65MG 20COMP,0.000
BRUGESIC COMP REC 200MG X10 ELM,1.71,E.F.36.416,IBUPROFENO 200MG 10COMP,0.000
BRUGESIC GRAG 600MG X10 ELM,3.22,E.F.29.895,IBUPROFENO 600MG 10COMP,0.000
BUDECORT SUSP P/INH 1 MG/ML X 15ML,13.50,E.F.30.917,BUDESONIDA 1MG/ML,0.000
BUTAL TAB REC 8MG X20 SIEG,7.05,E.F.43.035,BETAHISTINA 8MG,0.000
