mol_inhrr,origen,estado,score_refs,candidato_refs,score_atc,codigo_atc,candidato_atc
TESTOSTERONA ISOCAPROATO,no_match,sin_candidato,0.727,Testosterona Cipionato,0.636,Testosterona,y estrogeno
N-ACETILCISTEINA,no_match,sin_candidato,0.714,N-metilglucamina,0.536,Acetilcisteina,Acetilcisteina
AGUA PURIFICADA,no_match,sin_candidato,0.700,Agua Oxigenada,0.682,Agua,bidestilada
ENANTATO DE NORETISTERONA,no_match,sin_candidato,0.692,Metenolona Enantato,0.615,Noretisterona,y estrogeno
ZINC GLUCONATE,no_match,sin_candidato,0.682,Zinc Piritionato,0.667,Orotato,de zinc
ESTREPTOQUINASA RECOMBINANTE,no_match,sin_candidato,0.667,Estreptoquinasa,0.667,Estreptoquinasa,Estreptoquinasa
VITAMINA A PALMITATO,no_match,sin_candidato,0.667,Paliperidona Palmitato,0.182,Vitamina,B1 en combinacion con vitamina B6 y/o vitamina B12
ATORVASTATINA CALCICA TRIHIDRATADA,no_match,sin_candidato,0.654,Atorvastatina,0.654,Atorvastatina,Atorvastatina
VACUNA SINTETICA CONJUGADA CONTRA EL HAEMOPHILUS INFLUENZAE TIPO B,no_match,sin_candidato,0.644,H.influenzae Tipo B Polisacarido Conjugado Toxoide Tetanico,0.590,Difteria-Haemophilus,influenzae B- pertussis-poliomielitis- tetanos
HIERRO ELEMENTAL,no_match,sin_candidato,0.636,Polimaltosa Hierro,0.607,Hierro,y multivitaminas
NITROFURANTOINA MACROCRISTALES,no_match,sin_candidato,0.633,Nitrofurantoina,0.633,Nitrofurantoina,Nitrofurantoina
SULFADIAZINA DE PLATA,no_match,sin_candidato,0.625,Sulfadiazina,0.625,Sulfadiazina,argentica
POLIETILENGLICOL 3350,no_match,sin_candidato,0.625,Polietilenglicol 4000,0.000,,
GLUCOSIDOS OXIMETIL ANTRAQUINONICOS,no_match,sin_candidato,0.611,Antraquinona Glucosidos,0.000,,
CLAVULANATO DE POTASIO+CELULOSA MICROCRISTALINA 1:1,revisar,sin_candidato,0.600,Clavulanato Potasio Diluido Con Celulosa Microcristalina,0.520,Interferon,alfacon-1
DICLOFENAC COLESTIRAMINA,revisar,sin_candidato,0.600,Resina Colestiramina,0.538,Colestiramina,Colestiramina
ACEITE DE HIGADO DE BACALAO,no_match,sin_candidato,0.595,Aceite Etiodado,0.540,Aceite,de ricino
LISINOPRIL DIHIDRATADO,no_match,sin_candidato,0.591,Lisinopril Dihidrato,0.682,Lisinopril,y diureticos
DEXTROSA MONOHIDRATADA,no_match,sin_candidato,0.577,Dextrosa,0.000,,
ALMIDON DE MAIZ,no_match,sin_candidato,0.571,Almidon Hidroxietil,0.571,Hidroxietil,almidon
COMPLEJO DE SACARATO FERRICO,no_match,sin_candidato,0.563,Sacarato Calcio Tetrahidrato,0.563,Complejo,de citrato de lisina y calcio
DEXTROSA ANHIDRA CRISTAL,no_match,sin_candidato,0.563,Dextrosa,0.000,,
AFATINIB DIMALEATO,no_match,sin_candidato,0.556,Afatinib,0.556,Afatinib,Afatinib
LIDOCAINA BASE,no_match,sin_candidato,0.556,Lidocaina,0.556,Lidocaina,Lidocaina
SULTAMICILINA TOSILATO DIHIDRATADA,no_match,sin_candidato,0.552,Naldemedina Tosilato,0.436,Sultamicilina,Sultamicilina
N-BUTILBROMURO DE HIOSCINA,no_match,sin_candidato,0.548,N-metilglucamina,0.000,,
CLORHIDRATO DE ONDANSETRON DIHIDRATADO,no_match,sin_candidato,0.545,Ondansetron,0.545,Ondansetron,Ondansetron
FORMOTEROL FUMARATO DIHIDRATADO,no_match,sin_candidato,0.545,Formoterol Fumarato,0.636,Formoterol,y Bromuro de aclidinio
MEROPENEM TRIHIDRATADO,no_match,sin_candidato,0.500,Meropenem Anhidro,0.583,Meropenem,y vaborbactam
MINOXIDIL USP,no_match,sin_candidato,0.500,Minoxidil,0.500,Minoxidil,Minoxidil
DEXTRANO,no_match,sin_candidato,0.500,Hierro-dextrano,0.000,,
TEOFILINATO DE AMBROXOL,no_match,sin_candidato,0.500,Ambroxol,0.500,Teofilinato,de colina
EXTRACTO ACUOSO DE TRITICUM VULGARE,no_match,sin_candidato,0.451,Arnica Montana Extracto Liquido,0.375,Lobulo,anterior hipofisis extracto
AMOXICILINA TRIHIDRATO- CLAVULANATO DE POTASIO 7:1,no_match,sin_candidato,0.422,Alfa-1-antitripsina,0.386,Interferon,alfacon-1
COLORANTE AZUL BRILLANTE FCF,no_match,sin_candidato,0.417,Azul Patente V Sodico,0.417,Azul,patente
"CITRATO DE FENTANILO 78,5 MCG/ ML",no_match,sin_candidato,0.409,5-metil-2-isopropilfenol,0.342,Magnesio,piridoxal 5-fosfato glutamato
IBUPROFENO DC 90,no_match,sin_candidato,0.400,Ytrio Y-90 Citrato,0.433,Itrio,90 cloruro
SUCRALFATO POLVO,no_match,sin_candidato,0.400,Aloe Ferox Polvo,0.600,Sucralfato,Sucralfato
"PREGABALINA AL 83,33% MEZCLA PARA ENCAPSULAR",no_match,sin_candidato,0.344,Virus Papiloma Humano Tipo 33 Proteina L1,0.273,Pregabalina,Pregabalina
CLORURO DE SODIO,no_match,sin_candidato,0.000,,0.000,,
CLORURO DE POTASIO,no_match,sin_candidato,0.000,,0.000,,
CITRATO DE SODIO DIHIDRATO,no_match,sin_candidato,0.000,,0.000,,
CARBONATO DE CALCIO,no_match,sin_candidato,0.000,,0.000,,
LACTATO DE SODIO,no_match,sin_candidato,0.000,,0.000,,
CLORURO DE CALCIO DIHIDRATADO,no_match,sin_candidato,0.000,,0.000,,
BICARBONATO DE SODIO,no_match,sin_candidato,0.000,,0.000,,
CITRATO DE CALCIO,no_match,sin_candidato,0.000,,0.000,,
CITRATO DE POTASIO MONOHIDRATO,no_match,sin_candidato,0.000,,0.000,,
ACEBROFILINA,no_match,sin_candidato,0.000,,0.000,,
FUMARATO FERROSO,no_match,sin_candidato,0.000,,0.000,,
CALCIO,no_match,sin_candidato,0.000,,0.000,,
CITRATO DE POTASIO,no_match,sin_candidato,0.000,,0.000,,
VONOPRAZAN,no_match,sin_candidato,0.000,,0.000,,
FOSFATO DE SODIO DIBASICO,no_match,sin_candidato,0.000,,0.000,,
IODOPOVIDONA,no_match,sin_candidato,0.000,,0.000,,
PROPILENGLICOL,no_match,sin_candidato,0.000,,0.250,Metoxi,propilenglicol epoetina beta
CITRATO DE CALCIO TETRAHIDRATADO,no_match,sin_candidato,0.000,,0.000,,
CITRATO DE SODIO,no_match,sin_candidato,0.000,,0.000,,
CITRATO DE SODIO DIHIDRATADO,no_match,sin_candidato,0.000,,0.000,,
