pendientes evaluadas: 146 (no_match 114 + revisar 32)
sin_candidato: 83
propuesta_atc: 55
banda_refs: 8

== propuesta_atc (55) ==
AGUA DESTILADA  ->  bidestilada [Agua] (refs 0.667 | atc 0.909)
SACUBITRILO VALSARTAN SODICO HIDRATADO  ->  y sacubitrilo [Valsartan] (refs 0.591 | atc 1.000)
SACUBITRILO VALSARTAN  ->  y sacubitrilo [Valsartan] (refs 0.591 | atc 1.000)
SULTAMICILINA  ->  Sultamicilina [Sultamicilina] (refs 0.000 | atc 1.000)
CLENBUTEROL  ->  Clenbuterol [Clenbuterol] (refs 0.000 | atc 1.000)
SUCRALFATO  ->  Sucralfato [Sucralfato] (refs 0.000 | atc 1.000)
CIPROFIBRATO  ->  Ciprofibrato [Ciprofibrato] (refs 0.000 | atc 1.000)
CEFOPERAZONA  ->  Cefoperazona [Cefoperazona] (refs 0.000 | atc 1.000)
FENOTEROL BROMHIDRATO  ->  Fenoterol [Fenoterol] (refs 0.000 | atc 1.000)
CEFRADINA  ->  Cefradina [Cefradina] (refs 0.000 | atc 1.000)
DIHIDROERGOTAMINA  ->  Dihidroergotamina [Dihidroergotamina] (refs 0.000 | atc 1.000)
FURAZOLIDONA  ->  Furazolidona [Furazolidona] (refs 0.000 | atc 1.000)
MOLGRAMOSTIM  ->  Molgramostim [Molgramostim] (refs 0.000 | atc 1.000)
POLICRESULENO  ->  Policresuleno [Policresuleno] (refs 0.000 | atc 1.000)
TIMOESTIMULINA  ->  Timoestimulina [Timoestimulina] (refs 0.000 | atc 1.000)
TRIFLUOPERAZINA  ->  Trifluoperazina [Trifluoperazina] (refs 0.000 | atc 1.000)
BUSPIRONA  ->  Buspirona [Buspirona] (refs 0.000 | atc 1.000)
CARISOPRODOL  ->  Carisoprodol [Carisoprodol] (refs 0.000 | atc 1.000)
ETAMSILATO  ->  Etamsilato [Etamsilato] (refs 0.000 | atc 1.000)
NITRAZEPAM  ->  Nitrazepam [Nitrazepam] (refs 0.000 | atc 1.000)
TRIBENOSIDO  ->  Tribenosido [Tribenosido] (refs 0.000 | atc 1.000)
ACEMETACINA  ->  Acemetacina [Acemetacina] (refs 0.000 | atc 1.000)
ACIDO BORICO  ->  borico [Acido] (refs 0.000 | atc 1.000)
DIDANOSINA  ->  Didanosina [Didanosina] (refs 0.000 | atc 1.000)
DORIPENEM  ->  Doripenem [Doripenem] (refs 0.000 | atc 1.000)
ERGOMETRINA  ->  Ergometrina [Ergometrina] (refs 0.000 | atc 1.000)
FENINDIONA  ->  Fenindiona [Fenindiona] (refs 0.000 | atc 1.000)
FOSFESTROL  ->  Fosfestrol [Fosfestrol] (refs 0.000 | atc 1.000)
HALOTANO  ->  Halotano [Halotano] (refs 0.000 | atc 1.000)
HIDROTALCITA  ->  Hidrotalcita [Hidrotalcita] (refs 0.000 | atc 1.000)
LEPIRUDINA  ->  Lepirudina [Lepirudina] (refs 0.000 | atc 1.000)
LOTEPREDNOL  ->  Loteprednol [Loteprednol] (refs 0.000 | atc 1.000)
NELFINAVIR  ->  Nelfinavir [Nelfinavir] (refs 0.000 | atc 1.000)
PRANLUKAST  ->  Pranlukast [Pranlukast] (refs 0.000 | atc 1.000)
ROFECOXIB  ->  Rofecoxib [Rofecoxib] (refs 0.000 | atc 1.000)
ROSIGLITAZONA  ->  Rosiglitazona [Rosiglitazona] (refs 0.000 | atc 1.000)
SUCCINILSULFATIAZOL  ->  Succinilsulfatiazol [Succinilsulfatiazol] (refs 0.000 | atc 1.000)
TRIFLUOPERAZINA CLORHIDRATO  ->  Trifluoperazina [Trifluoperazina] (refs 0.000 | atc 1.000)
DESONIDA  ->  Desonida [Desonida] (refs 0.000 | atc 1.000)
OXACILINA  ->  Oxacilina [Oxacilina] (refs 0.000 | atc 1.000)
OXOLAMINA CITRATO  ->  Oxolamina [Oxolamina] (refs 0.000 | atc 1.000)
SIBUTRAMINA  ->  Sibutramina [Sibutramina] (refs 0.000 | atc 1.000)
CEFALOTINA  ->  Cefalotina [Cefalotina] (refs 0.000 | atc 1.000)
DICLOXACILINA  ->  Dicloxacilina [Dicloxacilina] (refs 0.000 | atc 1.000)
ISOCONAZOL  ->  Isoconazol [Isoconazol] (refs 0.000 | atc 1.000)
KANAMICINA  ->  Kanamicina [Kanamicina] (refs 0.000 | atc 1.000)
AMINOFILINA  ->  Aminofilina [Aminofilina] (refs 0.000 | atc 1.000)
CIMETIDINA  ->  Cimetidina [Cimetidina] (refs 0.000 | atc 1.000)
BETACAROTENO  ->  Betacaroteno [Betacaroteno] (refs 0.000 | atc 1.000)
CARBACOL  ->  Carbacol [Carbacol] (refs 0.000 | atc 1.000)
DACTINOMICINA  ->  Dactinomicina [Dactinomicina] (refs 0.000 | atc 1.000)
FENIRAMINA  ->  Feniramina [Feniramina] (refs 0.000 | atc 1.000)
HEXAMIDINA  ->  Hexamidina [Hexamidina] (refs 0.000 | atc 1.000)
MESILATO DE DIHIDROERGOTAMINA  ->  Dihidroergotamina [Dihidroergotamina] (refs 0.000 | atc 1.000)
SULFACETAMIDA  ->  Sulfacetamida [Sulfacetamida] (refs 0.000 | atc 1.000)

== banda_refs (8) ==
POLIETILENGLICOL 400  ->  Polietilenglicol 4000 (refs 0.875 | atc 0.000)
TESTOSTERONA FENILPROPIONATO  ->  Testosterona Propionato (refs 0.833 | atc 0.667)
PENICILINA G PROCAINICA  ->  Penicilina G (refs 0.800 | atc 0.600)
SUBCARBONATO DE BISMUTO  ->  Bismuto Subcitrato (refs 0.792 | atc 0.792)
SUBSALICILATO DE BISMUTO  ->  Bismuto Subcitrato (refs 0.769 | atc 0.769)
ALCOHOL POLIVINILICO  ->  Alcohol Pantotenilico (refs 0.769 | atc 1.000)
BENZOATO DE BENCILO  ->  Benzoato Sodio (refs 0.750 | atc 1.000)
ALCOHOL CETILESTEARILICO  ->  Cinamilico Alcohol (refs 0.750 | atc 0.688)
