pendientes evaluadas: 146 (no_match 114 + revisar 32)
sin_candidato: 83
propuesta_atc: 55
banda_refs: 8

== propuesta_atc (55) ==
AGUA DESTILADA  ->  Agua bidestilada [V07AB91] (refs 0.667 | atc 0.909)
SACUBITRILO VALSARTAN SODICO HIDRATADO  ->  Valsartan y sacubitrilo [C09DX04] (refs 0.591 | atc 1.000)
SACUBITRILO VALSARTAN  ->  Valsartan y sacubitrilo [C09DX04] (refs 0.591 | atc 1.000)
SULTAMICILINA  ->  Sultamicilina [J01CR04] (refs 0.000 | atc 1.000)
CLENBUTEROL  ->  Clenbuterol [R03AC14] (refs 0.000 | atc 1.000)
SUCRALFATO  ->  Sucralfato [A02BX02] (refs 0.000 | atc 1.000)
CIPROFIBRATO  ->  Ciprofibrato [C10AB08] (refs 0.000 | atc 1.000)
CEFOPERAZONA  ->  Cefoperazona [J01DD12] (refs 0.000 | atc 1.000)
FENOTEROL BROMHIDRATO  ->  Fenoterol [G02CA03] (refs 0.000 | atc 1.000)
CEFRADINA  ->  Cefradina [J01DB09] (refs 0.000 | atc 1.000)
DIHIDROERGOTAMINA  ->  Dihidroergotamina [N02CA01] (refs 0.000 | atc 1.000)
FURAZOLIDONA  ->  Furazolidona [G01AX06] (refs 0.000 | atc 1.000)
MOLGRAMOSTIM  ->  Molgramostim [L03AA03] (refs 0.000 | atc 1.000)
POLICRESULENO  ->  Policresuleno [D08AE02] (refs 0.000 | atc 1.000)
TIMOESTIMULINA  ->  Timoestimulina [L03AX94] (refs 0.000 | atc 1.000)
TRIFLUOPERAZINA  ->  Trifluoperazina [N05AB06] (refs 0.000 | atc 1.000)
BUSPIRONA  ->  Buspirona [N05BE01] (refs 0.000 | atc 1.000)
CARISOPRODOL  ->  Carisoprodol [M03BA02] (refs 0.000 | atc 1.000)
ETAMSILATO  ->  Etamsilato [B02BX01] (refs 0.000 | atc 1.000)
NITRAZEPAM  ->  Nitrazepam [N05CD02] (refs 0.000 | atc 1.000)
TRIBENOSIDO  ->  Tribenosido [C05AX05] (refs 0.000 | atc 1.000)
ACEMETACINA  ->  Acemetacina [M01AB11] (refs 0.000 | atc 1.000)
ACIDO BORICO  ->  Acido borico [S02AA03] (refs 0.000 | atc 1.000)
DIDANOSINA  ->  Didanosina [J05AF02] (refs 0.000 | atc 1.000)
DORIPENEM  ->  Doripenem [J01DH04] (refs 0.000 | atc 1.000)
ERGOMETRINA  ->  Ergometrina [G02AB03] (refs 0.000 | atc 1.000)
FENINDIONA  ->  Fenindiona [B01AA02] (refs 0.000 | atc 1.000)
FOSFESTROL  ->  Fosfestrol [L02AA04] (refs 0.000 | atc 1.000)
HALOTANO  ->  Halotano [N01AB01] (refs 0.000 | atc 1.000)
HIDROTALCITA  ->  Hidrotalcita [A02AD04] (refs 0.000 | atc 1.000)
LEPIRUDINA  ->  Lepirudina [B01AE02] (refs 0.000 | atc 1.000)
LOTEPREDNOL  ->  Loteprednol [S01BA14] (refs 0.000 | atc 1.000)
NELFINAVIR  ->  Nelfinavir [J05AE04] (refs 0.000 | atc 1.000)
PRANLUKAST  ->  Pranlukast [R03DC02] (refs 0.000 | atc 1.000)
ROFECOXIB  ->  Rofecoxib [M01AH02] (refs 0.000 | atc 1.000)
ROSIGLITAZONA  ->  Rosiglitazona [A10BG02] (refs 0.000 | atc 1.000)
SUCCINILSULFATIAZOL  ->  Succinilsulfatiazol [A07AB04] (refs 0.000 | atc 1.000)
TRIFLUOPERAZINA CLORHIDRATO  ->  Trifluoperazina [N05AB06] (refs 0.000 | atc 1.000)
DESONIDA  ->  Desonida [D07AB08] (refs 0.000 | atc 1.000)
OXACILINA  ->  Oxacilina [J01CF04] (refs 0.000 | atc 1.000)
