producto_id,sku,nombre_comercial,molecula,forma,laboratorio,costo_usd,precio_usd,score,nombre_farmanselmo,precio_bs,imagen,farmanselmo_id,categoria_slug
37769,ME42521,CITRAPOL SOLUCION,Citrico Acido,LOCION,"S.M. PHARMA, C.A.",4.94,8.23,1.070,NIOSILIN ACIDO BENZOICO+ACIDO SALICILICO+AZUFRE+MENTOL+CAOLIN+DIOXIDO DE TITANIO CREMA x20GR VARGAS (E),"Bs. 4.508,38",https://pccentro.net.ve/img/s/2/5/6/9/2/25692-large_default.webp,471646,farmacia-1/dermatologicos
39531,ME26276,KETOCONAZOL 2% CREMA,Ketoconazol,CREMA,"LABORATORIOS KIMICEG, C.A.",2.31,3.85,1.000,KETOCONAZOL 2% CREMA (E),"Bs. 1.949,11",https://pccentro.net.ve/img/s/5/9/3/8/5/59385-large_default.webp,737515,farmacia-1/dermatologicos
37566,ME26475,BETADINE 8 % SOLUCION TOPICO BUCAL,,SOLUCION TOPICA,LABORATORIOS FARMA S.A.,6.41,10.68,0.990,PROSOLVIT VITAMINA B1+B2+B3+B6+B12+VITAMINA C+VITAMINA D3+VITAMINA A SOLUCION EN GOTAS x15CC  MEGALA (E),"Bs. 6.254,11",https://pccentro.net.ve/img/s/8/6/8/1/5/86815-large_default.webp,530360,farmacia-1/tracto-alimentario-y-metabolis
39152,ME34772,CLOTRIMAZOL 1 % CREMA VAGINAL,Clotrimazol,CREMA,"LABORATORIOS KIMICEG, C.A.",2.39,3.98,0.914,CLOTRIMAZOL 1% CREMA VAGINAL (E),"Bs. 2.330,46",https://pccentro.net.ve/img/s/7/6/6/9/9/76699-large_default.webp,737102,cuidado-personal/cuidado-intimo
39354,ME42186,REHIDROSOL 60 mEq / L SOLUCION ELECTROLITICA USO ORAL SABOR A MANZANA,,SOLUCION ORAL,"LABORATORIO BEHRENS, C.A.",4.12,6.87,0.865,REHIDROSOL SOLUCION ELECTROLITICA ORAL 60 MEQ/L SABOR MANZANA x600ML BEHRENS (E),"Bs. 4.567,70",https://pccentro.net.ve/img/s/7/7/6/3/3/77633-large_default.webp,477324,farmacia-1/tracto-alimentario-y-metabolis
37971,ME43320,DOLCAN 9 mg / 5 mL SUSPENSION ORAL,,SOLUCION ORAL,MEGALABS S.A.,5.58,9.30,0.857,DOLCAN DICLOFENAC POTASICO 9MG/5ML SUSPENSION ORAL PEDIATRICA x120 ML MEGALABS (E),"Bs. 5.491,41",https://pccentro.net.ve/img/s/8/0/6/3/3/80633-large_default.webp,475122,farmacia-1/sistema-musculoesqueletico
37739,ME27924,CICLOFTAL1 % SOLUCION OFTALMICA,Ciclopentolato,SOLUCION OFTALMICA,"LABORATORIOS L.O. OFTALMI, C.A.",33.24,55.40,0.853,TOPTEAR HIALURONATO DE SODIO 4MG/ML SOLUCION OFTALMICA EN GOTAS x10ML POEN MEGALABS (E),"Bs. 5.288,03",https://pccentro.net.ve/img/s/7/9/9/4/0/79940-large_default.webp,473100,farmacia-1/organos-de-los-sentidos
39458,ME42403,CLINDAMICINA 1% GEL TOPICO,Clindamicina,GEL,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",1.99,3.32,0.830,ARTROVIT GEL USO TOPICO GLUCOSAMINA  COLAGENO ACIDO HIALURONICO CONDROITIN MAGNESIO MENTA ARNICA ACE (E),"Bs. 5.940,55",https://pccentro.net.ve/img/s/3/5/1/9/1/35191-large_default.webp,473535,farmacia-1/proteccion-osteoarticular
38809,ME28901,SULFADIAZINA DE PLATA 1 % CREMA,,CREMA,"LABORATORIOS KIMICEG, C.A.",5.52,9.20,0.827,DILFAMID SULFADIAZIDA DE PLATA CREMA 1% (E),"Bs. 3.737,21",https://pccentro.net.ve/img/s/8/0/3/1/3/80313-large_default.webp,380469,cuidado-personal/cuidado-intimo
39594,ME43863,"TOMYCIN 0,3 % SOLUCIÓN OFTALMICA",Tobramicina,SOLUCION OFTALMICA,THE IBN SINA PHARMACEUTICAL INDUSTRY LTD,4.83,8.05,0.826,TOMYCIN (TOBRAMICINA) GOTAS OFT X5ML (E),"Bs. 2.957,57",https://pccentro.net.ve/img/s/5/6/7/6/5/56765-large_default.webp,724865,farmacia-1/organos-de-los-sentidos
39352,ME42185,REHIDROSOL 45 mEq/L SOLUCION ELECTROLITICA USO ORAL SABOR A FRAMBUESA,,SOLUCION ORAL,"LABORATORIO BEHRENS, C.A.",5.15,8.58,0.822,REHIDROSOL SOLUCION ELECTROLITICA ORAL 45MEQ SABOR FRESA x600ML BEHRENS (E),"Bs. 3.949,07",https://pccentro.net.ve/img/s/7/7/6/2/4/77624-large_default.webp,477372,farmacia-1/tracto-alimentario-y-metabolis
39014,ME42908,ACETAMINOFEN 120 mg / 5 mL X 10 SOLUCION ORAL,,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",0.36,0.60,0.793,ATAMEL ACETAMINOFEN SOLUCION ORAL 120MG/5ML x120ML CALOX (E),"Bs. 2.466,05",https://pccentro.net.ve/img/s/8/4/1/7/7/84177-large_default.webp,475603,farmacia-1/cuidado-del-sistema-nervioso
