producto_id,sku,nombre_comercial,molecula,score,foto_url,nombre_farmanselmo,componentes_faltantes
37922,ME43814,"Diclodex 1,8 mg/mL Suspensión Oral",Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/4/5/4/80454-large_default.webp,"VOLTEN DICLOFENAC SODICO SOLUCION OFTALMICA 0,1% 5ML OFTALMI (E)",diclofenaco(!=diclofenaco)
37924,MI35435/2,DICLOFENAC POT X 6 UNIDADES,Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/5/8/7/80587-large_default.webp,"CLOFEN DICLOFENAC POTASICO 1,8 MG/ML SUSPENSIÓN USO PEDIÁTRICO x60ML DOLLDER (E)",diclofenaco(!=diclofenaco)
37925,MI35435/3,DICLOFENAC POT X 10 UNIDADES,Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/5/8/7/80587-large_default.webp,"CLOFEN DICLOFENAC POTASICO 1,8 MG/ML SUSPENSIÓN USO PEDIÁTRICO x60ML DOLLDER (E)",diclofenaco(!=diclofenaco)
37926,MI35435/4,DICLOFENAC POT X 30 UNIDADES,Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/5/8/7/80587-large_default.webp,"CLOFEN DICLOFENAC POTASICO 1,8 MG/ML SUSPENSIÓN USO PEDIÁTRICO x60ML DOLLDER (E)",diclofenaco(!=diclofenaco)
37927,HO36803/2,DICLOFENACO SODICO 75mg/3ml X 1 AMPOLLAS,Diclofenaco,-1,https://pccentro.net.ve/img/s/9/5/7/9/2/95792-large_default.webp,DICLOFENAC SODICO AMPOLLA I.V I.M 75MG x1 UNIDAD VITALIS (E),diclofenaco(!=diclofenaco)
37930,ME43045/4,DICLOFENACO POTASICO 50 mg X 30 TABLETAS RECUBIERTAS,Diclofenaco,-1,https://pccentro.net.ve/img/s/5/2/9/3/1/52931-large_default.webp,CLOFEN DICLOFENAC POTASICO 50MG x30 COMPRIMIDOS DOLLDER (E),diclofenaco(!=diclofenaco)
37931,ME43045/3,DICLOFENACO POTASICO 50 mg X 20 TABLETAS RECUBIERTAS,Diclofenaco,-1,https://pccentro.net.ve/img/s/5/2/9/3/1/52931-large_default.webp,CLOFEN DICLOFENAC POTASICO 50MG x30 COMPRIMIDOS DOLLDER (E),diclofenaco(!=diclofenaco)
37933,ME29516,DICLOFENAC SODICO 50 mg TABLETAS RECUBIERTAS,Diclofenaco,-1,https://pccentro.net.ve/img/s/5/2/9/3/1/52931-large_default.webp,CLOFEN DICLOFENAC POTASICO 50MG x30 COMPRIMIDOS DOLLDER (E),diclofenaco(!=diclofenaco)
37946,ME34580,"DIKLASON 1,8 mg / mL SUSPENSION ORAL",Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/5/8/7/80587-large_default.webp,"CLOFEN DICLOFENAC POTASICO 1,8 MG/ML SUSPENSIÓN USO PEDIÁTRICO x60ML DOLLDER (E)",diclofenaco(!=diclofenaco)
38297,HO42668/2,KETOROLACO TROMETAMOL 30 mg / mL X 8 AMPOLLAS,Ketorolaco,-1,https://pccentro.net.ve/img/s/8/6/0/2/2/86022-large_default.webp,KETOROLAC AMPOLLA I.V I.M 30 MG X1 UNIDAD BIOSANO (E),ketorolaco(!=ketorolaco)
38583,ME38330,DICLOFENAC POTASICO 15 mg / mL SUSPENSION ORAL,Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/5/5/6/80556-large_default.webp,OFAFLAN DICLOFENAC POTASICO SUSPENSION EN GOTAS 15MG/ML x30 ML ELMOR (E),diclofenaco(!=diclofenaco)
38793,ME43690/4,SILDENAFILO 50mg X 4 TABLETAS RECUBIERTAS,Sildenafilo,-1,https://pccentro.net.ve/img/s/2/4/5/1/0/24510-large_default.webp,DUROVAL SILDENAFIL 50 MG x1 TABLETA VALMORCA (E),sildenafilo(!=sildenafilo)
38878,ME33963,"TODENAC 0,3 % - 0,1 % SOLUCION OFTALMICA",Diclofenaco - Tobramicina,-1,https://pccentro.net.ve/img/s/7/5/5/3/6/75536-large_default.webp,TODENAC DICLOFENAC SODICO+TOBRAMICINA 0.1%-0.3% SOLUCION OFTALMICA x5ML OFTALMI (E),diclofenaco(!=diclofenaco)
39120,ME44634,CAMPAL P 15 mg / mL SUSPENSIÓN ORAL,Diclofenaco,-1,https://pccentro.net.ve/img/s/8/4/0/5/9/84059-large_default.webp,FEBRATIC DICLOFENAC POTASICO GOTAS  15MG/ML X 15 ML MEGALABS (E),diclofenaco(!=diclofenaco)
39169,ME39525/3,DOL FORTE 500 mg - 65 mg X 10 TABLETAS,Acetaminofen - Cafeina,-1,https://pccentro.net.ve/img/s/6/4/0/7/1/64071-large_default.webp,DOLICOX FORTE NAPROXENO (ACETAMIOFENO+NAX+CAFEINA) 250MG+220MG+65MG x12 TABLETAS COASPHARMA (E),acetaminofen(!=acetaminofen)
39170,ME39525/2,DOL FORTE 500 mg - 65 mg X 4 TABLETAS,Acetaminofen - Cafeina,-1,https://pccentro.net.ve/img/s/6/4/0/7/1/64071-large_default.webp,DOLICOX FORTE NAPROXENO (ACETAMIOFENO+NAX+CAFEINA) 250MG+220MG+65MG x12 TABLETAS COASPHARMA (E),acetaminofen(!=acetaminofen)
39185,ME30174,DICLOFENACO POTASICO 50 mg X 20 TABLETAS RECUBIERTAS,Diclofenaco,-1,https://pccentro.net.ve/img/s/5/2/9/3/1/52931-large_default.webp,CLOFEN DICLOFENAC POTASICO 50MG x30 COMPRIMIDOS DOLLDER (E),diclofenaco(!=diclofenaco)
39186,ME28153,DICLOFENAC POTASICO 50 mg COMPRIMIDOS RECUBIERTOS,Diclofenaco,-1,https://pccentro.net.ve/img/s/5/2/9/3/1/52931-large_default.webp,CLOFEN DICLOFENAC POTASICO 50MG x30 COMPRIMIDOS DOLLDER (E),diclofenaco(!=diclofenaco)
39187,ME35439,DICLOFENAC POTASICO 50 mg X 20 COMPRIMIDOS RECUBIERTOS,Diclofenaco,-1,https://pccentro.net.ve/img/s/5/2/9/3/1/52931-large_default.webp,CLOFEN DICLOFENAC POTASICO 50MG x30 COMPRIMIDOS DOLLDER (E),diclofenaco(!=diclofenaco)
39191,ME27471,DIKLASON 50 mg COMPRIMIDOS RECUBIERTOS,Diclofenaco,-1,https://pccentro.net.ve/img/s/5/2/9/3/1/52931-large_default.webp,CLOFEN DICLOFENAC POTASICO 50MG x30 COMPRIMIDOS DOLLDER (E),diclofenaco(!=diclofenaco)
39192,HO36449,DIKLASON 75 mg / 3 mL X 1 AMPOLLAS,Diclofenaco,-1,https://pccentro.net.ve/img/s/9/5/7/9/2/95792-large_default.webp,DICLOFENAC SODICO AMPOLLA I.V I.M 75MG x1 UNIDAD VITALIS (E),diclofenaco(!=diclofenaco)
39213,ME38628,FEBRATIC 10 mg / 5 mL SUSPENSION ORAL,Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/4/5/4/80454-large_default.webp,"VOLTEN DICLOFENAC SODICO SOLUCION OFTALMICA 0,1% 5ML OFTALMI (E)",diclofenaco(!=diclofenaco)
39272,ME36355,KETOROLAC 10 mg COMPRIMIDOS,Ketorolaco,-1,https://pccentro.net.ve/img/s/2/4/4/8/9/24489-large_default.webp,DOLAK KETOROLAC 10MG SUBLINGUAL x10 COMPRIMIDOS DOLLDER (E),ketorolaco(!=ketorolaco)
39407,HO43946,VERALEN P 75 mg / 3 mL X 1 AMPOLLAS,Diclofenaco,-1,https://pccentro.net.ve/img/s/9/5/7/9/2/95792-large_default.webp,DICLOFENAC SODICO AMPOLLA I.V I.M 75MG x1 UNIDAD VITALIS (E),diclofenaco(!=diclofenaco)
39441,ME31588,"OTALEX 0,2 % - 1 % SUSPENSION OTICA",Ciprofloxacino - Hidrocortisona,-1,https://pccentro.net.ve/img/s/7/5/4/5/1/75451-large_default.webp,QUINOTIC HC CIPROFLOXACINA+HIDROCORTISONA SUSPENSIÓN ÓTICA 0.20%-1% GOTAS OTICAS x5ML OFTALMI (E),ciprofloxacino(!=ciprofloxacino)
39472,ME37301,DICLOFENAC SODICO 1% GEL,Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/6/4/5/80645-large_default.webp,DICLODAC DICLOFENAC DIETILAMINA GEL 1.16% x30GR DAC55 (E),diclofenaco(!=diclofenaco)
39482,MI37540,"DICLOFENAC DIETILAMINA 1,16% EMULGEL",Diclofenaco,-1,https://pccentro.net.ve/img/s/8/0/5/8/7/80587-large_default.webp,"CLOFEN DICLOFENAC POTASICO 1,8 MG/ML SUSPENSIÓN USO PEDIÁTRICO x60ML DOLLDER (E)",diclofenaco(!=diclofenaco)
39485,ME36125,"CLOTRIMAZOL - NEOMICINA - DEXAMETASONA 1% - 0,5% - 0.04% X 1 CREMA",Clotrimazol - Dexametasona,-1,https://pccentro.net.ve/img/s/7/3/7/1/2/73712-large_default.webp,BETAGENTA PLUS BETAMETASONA+CLOTRIMAZOL+GENTAMICINA CREMA x30GR SEFARLA (E),dexametasona(!=dexametasona)
