id_a,nombre_a,id_b,nombre_b,score,motivo,atc_a,atc_b,canon_a,canon_b
2,Abacavir,3,Abacavir Clorhidrato,1,canonico_igual,J05AF06,J05AF06,abacavir,abacavir
2,Abacavir,4,Abacavir Sulfato,1,canonico_igual,J05AF06,J05AF06,abacavir,abacavir
3,Abacavir Clorhidrato,4,Abacavir Sulfato,1,canonico_igual,J05AF06,J05AF06,abacavir,abacavir
10,Abiraterona,11,Abiraterona Acetato,1,canonico_igual,L02BX03,L02BX03,abiraterona,abiraterona
13,Acalabrutinib,14,Acalabrutinib Maleato,1,canonico_igual,L01EL02,L01EL02,acalabrutinib,acalabrutinib
43,Acetilcolina,44,Acetilcolina Cloruro,1,canonico_igual,S01EB09,S01EB09,acetilcolina,acetilcolina
56,Aciclovir,57,Aciclovir Sodico,1,canonico_igual,D06BB03,D06BB03,aciclovir,aciclovir
60,Acido Fusidico Hemihidrato,1568,Fusidico Acido,1,canonico_igual,D06AX01,,fusidico,fusidico
61,Acido Ibandronico Sodio Monohidrato,1807,Ibandronico Acido,1,canonico_igual,M05BA06,,ibandronico,ibandronico
65,Acido Zoledronico,66,Acido Zoledronico Monohidrato,1,canonico_igual,M05BA08,M05BA08,zoledronico,zoledronico
70,Aclidinio,71,Aclidinio Bromuro,1,canonico_igual,R03AL05,,aclidinio,aclidinio
72,Acoramidis,73,Acoramidis Hidrocloruro,1,canonico_igual,C01EB25,C01EB25,acoramidis,acoramidis
116,Alcohol Etilico,1354,Etilico Alcohol,1,canonico_igual,,,alcohol etilico,alcohol etilico
120,Alectinib,121,Alectinib Hidrocloruro,1,canonico_igual,L01ED03,L01ED03,alectinib,alectinib
123,Alendronato Sodio,124,Alendronato Sodio Monohidrato,1,canonico_igual,,,alendronato,alendronato
123,Alendronato Sodio,125,Alendronato Sodio Trihidrato,1,canonico_igual,,,alendronato,alendronato
124,Alendronato Sodio Monohidrato,125,Alendronato Sodio Trihidrato,1,canonico_igual,,,alendronato,alendronato
132,Alfentanilo,133,Alfentanilo Hidrocloruro,1,canonico_igual,N01AH02,N01AH01,alfentanilo,alfentanilo
134,Alfuzosina,135,Alfuzosina Hidrocloruro,1,canonico_igual,G04CA01,G04CA01,alfuzosina,alfuzosina
141,Alimemazina,142,Alimemazina Tartrato,1,canonico_igual,R06AD01,R06AD01,alimemazina,alimemazina
170,Aluminio,172,Aluminio Fosfato,1,canonico_igual,A02AB91,,aluminio,aluminio
170,Aluminio,176,Aluminio Potasio Sulfato,1,canonico_igual,A02AB91,,aluminio,aluminio
172,Aluminio Fosfato,176,Aluminio Potasio Sulfato,1,canonico_igual,,,aluminio,aluminio
173,Aluminio Hidroxido,1761,Hidroxido De Aluminio Hidratado,1,canonico_igual,A02AA91,A02AB01,aluminio hidroxido,aluminio hidroxido
175,"Aluminio Hidroxido-magnesio Carbonato,coprecipitado",2160,"Magnesio Carbonato-aluminio Hidroxido,coprecipitado",1,canonico_igual,A06AD01,A06AD01,aluminio coprecipitado hidroxido magnesio,aluminio coprecipitado hidroxido magnesio
177,Amantadina,178,Amantadina Hidrocloruro,1,canonico_igual,J05AC91,J05AC91,amantadina,amantadina
181,Ambroxol,182,Ambroxol Hidrocloruro,1,canonico_igual,R02AD05,R02AD05,ambroxol,ambroxol
188,Amidotrizoato Calcio,190,Amidotrizoato Sodio,1,canonico_igual,,,amidotrizoato,amidotrizoato
194,Amikacina,195,Amikacina Sulfato,1,canonico_igual,D06AX12,D06AX12,amikacina,amikacina
198,Amilorida,199,Amilorida Hidrocloruro,1,canonico_igual,C03DB01,C03DB01,amilorida,amilorida
