mol_inhrr,mol_cima
SACUBITRILO VALSARTAN SODICO HIDRATADO,y sacubitrilo
SACUBITRILO VALSARTAN,y sacubitrilo
SULTAMICILINA,Sultamicilina
CLENBUTEROL,Clenbuterol
SUCRALFATO,Sucralfato
CIPROFIBRATO,Ciprofibrato
CEFOPERAZONA,Cefoperazona
FENOTEROL BROMHIDRATO,Fenoterol
CEFRADINA,Cefradina
DIHIDROERGOTAMINA,Dihidroergotamina
MESILATO DE DIHIDROERGOTAMINA,Dihidroergotamina
FURAZOLIDONA,Furazolidona
MOLGRAMOSTIM,Molgramostim
POLICRESULENO,Policresuleno
TIMOESTIMULINA,Timoestimulina
TRIFLUOPERAZINA,Trifluoperazina
TRIFLUOPERAZINA CLORHIDRATO,Trifluoperazina
BUSPIRONA,Buspirona
CARISOPRODOL,Carisoprodol
ETAMSILATO,Etamsilato
NITRAZEPAM,Nitrazepam
TRIBENOSIDO,Tribenosido
ACEMETACINA,Acemetacina
ACIDO BORICO,borico
DIDANOSINA,Didanosina
DORIPENEM,Doripenem
ERGOMETRINA,Ergometrina
FENINDIONA,Fenindiona
FOSFESTROL,Fosfestrol
HALOTANO,Halotano
HIDROTALCITA,Hidrotalcita
LEPIRUDINA,Lepirudina
LOTEPREDNOL,Loteprednol
NELFINAVIR,Nelfinavir
PRANLUKAST,Pranlukast
ROFECOXIB,Rofecoxib
ROSIGLITAZONA,Rosiglitazona
SUCCINILSULFATIAZOL,Succinilsulfatiazol
DESONIDA,Desonida
OXACILINA,Oxacilina
OXOLAMINA CITRATO,Oxolamina
SIBUTRAMINA,Sibutramina
CEFALOTINA,Cefalotina
DICLOXACILINA,Dicloxacilina
ISOCONAZOL,Isoconazol
KANAMICINA,Kanamicina
AMINOFILINA,Aminofilina
CIMETIDINA,Cimetidina
BETACAROTENO,Betacaroteno
CARBACOL,Carbacol
DACTINOMICINA,Dactinomicina
FENIRAMINA,Feniramina
HEXAMIDINA,Hexamidina
SULFACETAMIDA,Sulfacetamida
