mol_inhrr,mol_cima_corregido,ATC,estado
BROMURO DE VECURONIO,Bromuro De Vecuronio,,faltante
OXOLAMINA CITRATO,Oxolamina Citrato,,faltante
SIBUTRAMINA,Sibutramina,A08AA10,faltante
BENZOATO DE BENCILO,Benzoato De Bencilo,P03AX01,faltante
CEFALOTINA,Cefalotina,J01DB03,faltante
HIALURONATO DE SODIO,Hialuronato De Sodio,,faltante
SUBCARBONATO DE BISMUTO,Subcarbonato De Bismuto,,faltante
DICLOXACILINA,Dicloxacilina,J01CF01,faltante
ISOCONAZOL,Isoconazol,G01AF07,faltante
KANAMICINA,Kanamicina,S01AA24,faltante
SUBSALICILATO DE BISMUTO,Subsalicilato De Bismuto,,faltante
AMINOFILINA,Aminofilina,R03DA05,faltante
CIMETIDINA,Cimetidina,A02BA01,faltante
CLAVULANATO DE POTASIO+CELULOSA MICROCRISTALINA 1:1,Clavulanato De Potasio+Celulosa Microcristalina 1:1,,faltante
GATIFLOXACINA,Gatifloxacina,,faltante
ALCOHOL CETILESTEARILICO,Alcohol Cetilestearilico,,faltante
ALCOHOL POLIVINILICO,Alcohol Polivinilico,,faltante
BETACAROTENO,Betacaroteno,D02BB01,faltante
CARBACOL,Carbacol,S01EB02,faltante
DACTINOMICINA,Dactinomicina,L01DA01,faltante
DICLOFENAC COLESTIRAMINA,Diclofenac Colestiramina,,faltante
DIVALPROATO DE SODIO,Divalproato De Sodio,,faltante
FENIRAMINA,Feniramina,R06AB05,faltante
HEXAMIDINA,Hexamidina,S03AA05,faltante
LACTASA,Lactasa,,faltante
MESILATO DE DIHIDROERGOTAMINA,Mesilato De Dihidroergotamina,C04AE01,faltante
PENICILINA G PROCAINICA,Penicilina G Procainica,,faltante
POLIETILENGLICOL 400,Polietilenglicol 400,,faltante
SULFACETAMIDA,Sulfacetamida,S01AB04,faltante
TESTOSTERONA FENILPROPIONATO,Testosterona Fenilpropionato,,faltante
DESONIDA,Desonida,D07AB08,faltante
OXACILINA,Oxacilina,J01CF04,faltante
