id,nombre,nombre_generico_en,sinonimos,estado,candidato_codigo,candidato_nombre,score,candidatos
8,Abedul Extracto Seco Corteza (5-10 : 1): Solvente De Extraccion: N-heptano 95% (p/p),Heptanoic Acid,,sin_candidato,,,,[]
31,Acelerador Serico De Conversion De Protombina,,,sin_candidato,,,,[]
33,Acetamidocaproico Acido,Iocetamic Acid,,revisar,B02AA01,Acido aminocaproico,0.853,"[{""codigo"":""B02AA01"",""nombre"":""Acido aminocaproico"",""score"":0.853},{""codigo"":""G04BX03"",""nombre"":""Acido acetohidroxamico"",""score"":0.794},{""codigo"":""V08AA07"",""nombre"":""Acido acetrizoico"",""score"":0.765}]"
34,Acetaminofen,Acetaminophen,,sin_candidato,,,,[]
35,Acetato Calcio,Calcium Acetate,,auto,V03AE07,Calcio acetato,1,"[{""codigo"":""V03AE07"",""nombre"":""Calcio acetato"",""score"":1}]"
36,Acetato Magnesio Tetrahidrato,Magnesium Acetate,,sin_candidato,,,,[]
37,Acetato Potasio,Potassium,,revisar,A12BA91,Potasio gluceptato,0.8,"[{""codigo"":""A12BA91"",""nombre"":""Potasio gluceptato"",""score"":0.8},{""codigo"":""A12BA92"",""nombre"":""Potasio ascorbato"",""score"":0.778}]"
38,Acetato Sodio,Sodium Acetate,,sin_candidato,,,,[]
39,Acetato Sodio Trihidrato,Sodium Acetate,,revisar,B05XA08,Acetato de sodio,0.767,"[{""codigo"":""B05XA08"",""nombre"":""Acetato de sodio"",""score"":0.767}]"
41,Acetico Acido,Acetic Acid,,revisar,G01AD02,Acido acetico,1,"[{""codigo"":""G01AD02"",""nombre"":""Acido acetico"",""score"":1},{""codigo"":""S02AA10"",""nombre"":""Acido acetico"",""score"":1},{""codigo"":""G01AD01"",""nombre"":""Acido lactico"",""score"":0.857}]"
45,Acetileno,Acetylene,,sin_candidato,,,,[]
48,Acetiltirosina,,,revisar,C01AA02,Acetildigoxina,0.786,"[{""codigo"":""C01AA02"",""nombre"":""Acetildigoxina"",""score"":0.786}]"
50,Acetohidroxamico Acido,Acetohydroxamic Acid,,auto,G04BX03,Acido acetohidroxamico,1,"[{""codigo"":""G04BX03"",""nombre"":""Acido acetohidroxamico"",""score"":1},{""codigo"":""D03AX92"",""nombre"":""Acexamico acido"",""score"":0.781},{""codigo"":""M05BA01"",""nombre"":""Acido etidronico"",""score"":0.781}]"
51,Acexamato Zinc,Zinc,,auto,A02BX91,Zinc acexamato,1,"[{""codigo"":""A02BX91"",""nombre"":""Zinc acexamato"",""score"":1}]"
53,Achillea Millefolium,Achillea Millefolium Extract,,sin_candidato,,,,[]
54,Acibar,,,sin_candidato,,,,[]
55,Acicloguanosina,Acyclovir,,sin_candidato,,,,[]
58,Acido Dimercaptosuccinico,Dimercaptosuccinate,,sin_candidato,,,,[]
63,Acido Oxoglurico,Iocetamic Acid,,revisar,J01MB05,Acido oxolinico,0.85,"[{""codigo"":""J01MB05"",""nombre"":""Acido oxolinico"",""score"":0.85},{""codigo"":""A16AA05"",""nombre"":""Acido carglumico"",""score"":0.8},{""codigo"":""V08AA06"",""nombre"":""Acido ioglicico"",""score"":0.8}]"
64,Acido Parahidroxibenzoico,Iocetamic Acid,,revisar,A11HA91,Aminobenzoico acido,0.789,"[{""codigo"":""A11HA91"",""nombre"":""Aminobenzoico acido"",""score"":0.789},{""codigo"":""D02BA01"",""nombre"":""Acido aminobenzoico"",""score"":0.789},{""codigo"":""M05BA03"",""nombre"":""Acido pamidronico"",""score"":0.763}]"
67,Acidos Omega 3,Omega-3 Fatty Acids,,sin_candidato,,,,[]
68,Acidos Omega 3 Esteres Etilicos,Omega-3 Acid Ethyl Esters (usp),,sin_candidato,,,,[]
71,Aclidinio Bromuro,Aclidinium,,revisar,R03BB07,Umeclidinio bromuro,0.864,"[{""codigo"":""R03BB07"",""nombre"":""Umeclidinio bromuro"",""score"":0.864}]"
74,Actaea Racemosa,Actaea Racemosa Whole Extract,,sin_candidato,,,,[]
79,Adenosilcobalamina,Cobamamide,,sin_candidato,,,,[]
80,Adenosilcobamida,,,sin_candidato,,,,[]
83,Adeps Lanae,,,sin_candidato,,,,[]
84,Adrenalina,Adrenalin,,revisar,A01AD06,Adrenalona,0.9,"[{""codigo"":""A01AD06"",""nombre"":""Adrenalona"",""score"":0.9},{""codigo"":""B02BC05"",""nombre"":""Adrenalona"",""score"":0.9},{""codigo"":""C01CA23"",""nombre"":""Teodrenalina"",""score"":0.75}]"
85,Adriamicina,Adriamycin,,sin_candidato,,,,[]
87,Aesculus Hippocastanum,,,sin_candidato,,,,[]
88,Aesculus Hippocastanum Tintura Madre,,,sin_candidato,,,,[]
