id,nombre,nombre_generico_en,atc,efs_catalogo,productos_tienda
4234,Sultamicilina,,J01CR04,14,3
3514,Trimebutina,,A03AA05,11,4
4235,Clenbuterol,,R03AC14,10,6
4268,Desonida,,D07AB08,10,4
2953,Quinapril,,C09AA06,10,0
668,Cefalexina,,J01DB01,9,1
4236,Sucralfato,,A02BX02,8,6
4237,Ciprofibrato,,C10AB08,6,2
3404,Tinidazol,,J01XD02,6,1
4269,Oxacilina,,J01CF04,6,0
4233,Valsartan y sacubitrilo,,C09DX04,6,0
4241,Dihidroergotamina,,N02CA01,5,4
4270,Oxolamina,,R05DB07,5,2
4238,Cefoperazona,,J01DD12,5,1
4239,Fenoterol,,G02CA03,5,1
4271,Sibutramina,,A08AA10,5,0
4246,Trifluoperazina,,N05AB06,4,2
4272,Cefalotina,,J01DB03,4,1
4240,Cefradina,,J01DB09,4,0
4273,Dicloxacilina,,J01CF01,3,1
4242,Furazolidona,,G01AX06,3,0
4274,Isoconazol,,D01AC05,3,0
4275,Kanamicina,,A07AA08,3,0
4243,Molgramostim,,L03AA03,3,0
4244,Policresuleno,,D08AE02,3,0
4245,Timoestimulina,,L03AX94,3,0
4248,Carisoprodol,,M03BA02,2,2
4247,Buspirona,,N05BE01,2,1
2783,Pirantel,,P02CC01,2,1
4251,Tribenosido,,C05AX05,2,1
4276,Aminofilina,,R03DA05,2,0
4277,Cimetidina,,A02BA01,2,0
4249,Etamsilato,,B02BX01,2,0
4250,Nitrazepam,,N05CD02,2,0
4253,Acido borico,,S02AA03,1,1
4282,Hexamidina,,D08AC04,1,1
3248,Sulfametizol,,B05CA04,1,1
4252,Acemetacina,,M01AB11,1,0
4278,Betacaroteno,,A11CA02,1,0
4279,Carbacol,,N07AB01,1,0
4280,Dactinomicina,,L01DA01,1,0
4254,Didanosina,,J05AF02,1,0
4255,Doripenem,,J01DH04,1,0
4256,Ergometrina,,G02AB03,1,0
1415,Fenilbutazona,,M01AA01,1,0
4257,Fenindiona,,B01AA02,1,0
4281,Feniramina,,R06AB05,1,0
4258,Fosfestrol,,L02AA04,1,0
4259,Halotano,,N01AB01,1,0
4260,Hidrotalcita,,A02AD04,1,0
4261,Lepirudina,,B01AE02,1,0
4262,Loteprednol,,S01BA14,1,0
4263,Nelfinavir,,J05AE04,1,0
4264,Pranlukast,,R03DC02,1,0
4265,Rofecoxib,,M01AH02,1,0
4266,Rosiglitazona,,A10BG02,1,0
4267,Succinilsulfatiazol,,A07AB04,1,0
4283,Sulfacetamida,,S01AB04,1,0
3805,(18f)-2-fluoro-2-desoxi-d-glucosa,,B05CX01,0,0
3811,"2,6-diamino-3-fenilazopiridina",,,0,0
50,Acetohidroxamico Acido,,G04BX03,0,0
79,Adenosilcobalamina,,,0,0
80,Adenosilcobamida,,,0,0
143,Alipogen Tiparvovec,,C10AX10,0,0
226,Ampicilina Trihidrato,,J01CA01,0,0
227,Ampicilina-benzatina,,J01CA01,0,0
259,Antigeno Polisacarido Meningococo Grupo C,,,0,0
293,"Arnm Con Caperuza Que Codifica La Proteina Espiga Del Sars-cov-2, Variante Omicron Xfg",,,0,0
333,Atosiban Acetato,,G02CX01,0,0
337,Atropa Belladonna,,,0,0
338,Atropa Belladonna Tintura Madre,,,0,0
406,Belladona Exto Blando,,,0,0
414,Bencenocarboxilico Acido,,,0,0
421,Bencilpenicilina Potasica,,J01CE01,0,0
441,Benzoato Sodio,,,0,0
444,Benzoico Acido,,A11HA91,0,0
3831,Bithiol,,,0,0
3832,Bituminol,,,0,0
525,Bromfenaco,,S01BC11,0,0
526,Bromfenaco Sodico,,S01BC11,0,0
527,Bromfenaco Sodico Sesquihidrato,,S01BC11,0,0
3847,Bythyol,,,0,0
639,Carnosina,,,0,0
3916,Cedro,,,0,0
669,Cefalexina Monohidrato,,J01DB01,0,0
3920,Cefminox,,J01DC12,0,0
3921,Cefminox Sodico,,J01DC12,0,0
3922,Cefonicid,,J01DC06,0,0
3923,Cefonicid Sodico,,,0,0
704,Cepa Similar A A/astrakhan/3212/2020 (h5n8) (cber-rg8a),,,0,0
783,Citidina-5-monofosfato Disodio,,,0,0
787,Citrato Acido Sodio,,,0,0
823,Clofazimina,,J04BA01,0,0
885,Cobamamida,,B03BA04,0,0
897,Coenzima B12,,,0,0
3942,Colestipol,,C10AC02,0,0
3943,Colestipol Hidrocloruro,,C10AC02,0,0
968,Dapsona,,D10AX05,0,0
984,Datopotamab Deruxtecan,,L01FX35,0,0
1059,Diacetilmidecamicina,,J01FA03,0,0
1061,Diafenilsulfona,,,0,0
1064,Dibencocida,,,0,0
1065,Dibencozamida,,,0,0
1087,Difenilmetoxi-8-isopropilnortropano,,,0,0
1088,Difenilmetoxi-8-isopropilnortropano Mesilato,,,0,0
1102,Dihidroestreptomicina,,J01GA91,0,0
1103,Dihidroestreptomicina Sulfato,,A07AA04,0,0
1136,Dodecilsulfato,,,0,0
1158,Doxiciclina Hidrocloruro,,A01AB22,0,0
1167,Drosera,,,0,0
1168,Drosera Rotundifolia,,,0,0
1169,Drosera Tintura,,,0,0
1170,Drosera Tintura Madre,,,0,0
1181,Eburnamonina,,,0,0
1215,Elinzanetant,,G02CX07,0,0
1274,Eritromicina Lauril Sulfato,,D10AF02,0,0
1290,Esencia Cedro,,,0,0
1408,Fenazopiridina,,G04BX06,0,0
1409,Fenazopiridina Hidrocloruro,,G04BX06,0,0
1414,Fenilazodiaminopiridina,,,0,0
1434,Fenoximetilpenicilina Calcica,,J01CE02,0,0
1436,Fenoximetilpenicilina-benzatina,,J01CE02,0,0
1474,Flufenamico Acido,,M01AG03,0,0
1504,Foeniculum Vulgare,,,0,0
1511,Folitropina Delta,,G03GA10,0,0
1514,Formil Paraminobencenosulfanilamidotiazol,,,0,0
1515,Formilsulfamidotiazol,,,0,0
1516,Formilsulfanilamidotiazol,,,0,0
1517,Formilsulfatiazol,,D06BA02,0,0
1518,Formolparaminobenceno Sulfanilamidotiazol,,,0,0
1519,Formolsulfanilamidotiazol,,,0,0
1520,Formosulfamidotiazol,,,0,0
1521,Formosulfatiazol,,D06BA02,0,0
1535,Fosfato Monosodio Dihidrato,,,0,0
1577,Gadodiamida,,V08CA03,0,0
1578,Gadofosveset,,V08CA11,0,0
1579,Gadofosveset Trisodio,,V08CA11,0,0
1583,Gadoversetamida,,V08CA06,0,0
1622,Ginkgo Biloba Exto,,,0,0
1650,Glipentida,,,0,0
1652,Glisentida,,A10BB91,0,0
1678,Goma Guar,,A10BX01,0,0
1692,Grindelia,,,0,0
1693,Grindelia Tintura,,,0,0
1697,Guarana,,,0,0
1747,Hidrocortisona Succinato,,H02AB09,0,0
4175,Hinojo,,,0,0
1806,Ibalizumab,,J05AX23,0,0
1817,Ictamol,,D05AA93,0,0
3966,Ictiol,,D04AX92,0,0
1824,Idoxuridina,,D06BB01,0,0
1876,Insulina Efsitora Alfa,,A10AE08,0,0
1882,Insulina Icodec,,A10AE07,0,0
1890,Interferon Alfa,,L03AB11,0,0
1891,Interferon Alfa- 2b,,S01AD05,0,0
1947,Josamicina,,J01FA07,0,0
1948,Josamicina Propionato,,J01FA07,0,0
1972,Lactobacillus Biphidus,,,0,0
1981,Lactobiosa,,,0,0
1986,Lactosa,,V04CE01,0,0
2014,Laurel Cerezo,,,0,0
2015,Laurel Cerezo Agua,,,0,0
2017,Laurilsulfato Sodio,,S02DA93,0,0
2047,Lespedeza Capitata,,G04BX91,0,0
2048,Lespedeza Capitata Exto,,G04BX91,0,0
2050,Leucomicina-a3,,,0,0
2094,Liotironina,,H03AA02,0,0
2114,Lobelia Inflata,,,0,0
2115,Lobelia Inflata Tintura,,,0,0
2117,Lomitapida Mesilato,,C10AX12,0,0
2118,Lomustina,,L01AD02,0,0
2144,Lurbinectedina,,L01XX69,0,0
2165,Magnesio Ioduro,,,0,0
2233,Memantina_b,,N06DX01,0,0
2239,Mentha Pulegium,,,0,0
4111,Mequinol,,D11AX06,0,0
2273,Metamizol Magnesico Hexahidrato,,,0,0
4115,Metoxifenol,,D08AE03,0,0
2336,Midecamicina,,J01FA03,0,0
2357,Mitapivat,,B06AX04,0,0
2358,Mitapivat Sulfato,,B06AX04,0,0
2401,Nafronil,,,0,0
2403,Naftidrofurilo,,C04AX21,0,0
2404,Naftidrofurilo Hidrogeno-oxalato,,C04AX21,0,0
2428,Necitumumab,,L01FE03,0,0
2437,Neostigmina,,N07AA01,0,0
2489,Nicergolina,,C04AE02,0,0
2528,Nogapendekina Alfa Inbakicept,,L03AC03,0,0
2572,Olezarsen,,,0,0
2592,Oregano Tintura,,,0,0
2619,Oxiconazol,,G01AF17,0,0
2646,P-aminobencensulfonamida,,,0,0
2652,P-anilinsulfonamida,,,0,0
2943,P-sulfamido Anilina,,,0,0
2859,"P,p-sulfodianilina",,,0,0
2739,Perindopril Terc-butilamina,,C09AA04,0,0
2784,Pirantel Embonato,,P02CC01,0,0
2794,Pirisuccideanol,,N06BX04,0,0
2795,Pirisudanol,,N06BX08,0,0
2796,Pirisudanol Maleato,,N06BX08,0,0
4220,Pm01183,,,0,0
4130,Poleo,,,0,0
2847,Potasio Clorato,,,0,0
2877,Prednisolona Sulfobenzoato Sodio,,H02AB06,0,0
2922,Proteina De La Espicula Del Sars-cov-2 (omicron Jn.1),,,0,0
2923,Proteina Morfogenica Osea Bmp-7,,M05BC02,0,0
2935,Prunus Africana,,G04CX01,0,0
2936,Prunus Africana Exto,,,0,0
2944,Pygeum Africanum,,G04CX51,0,0
3030,Riltozinameran,,,0,0
3031,Rilzabrutinib,,L01EL90,0,0
3050,Rivastigmina Tartrato,,N06DA03,0,0
4223,Ro 31-8959,,,0,0
3091,Sacarato Calcio Tetrahidrato,,,0,0
3123,Saquinavir,,J05AE01,0,0
3145,Senosidos A-b Calcicos,,,0,0
3146,Sepiapterina,,A16AX28,0,0
3202,Sodio Perborato,,,0,0
3244,Sulesomab,,V09HA04,0,0
3247,Sulfametiltiadiazol,,,0,0
3251,Sulfanilamida,,D06BA05,0,0
3256,Sulfobituminato Amonico,,,0,0
3306,Tartarico Acido,,,0,0
3311,Tazaroteno,,D05AX05,0,0
3323,Telavancina,,J01XA03,0,0
3342,Teplizumab,,A10XX01,0,0
3911,Tolebrutinib,,L04AA62,0,0
3490,Trementina Birectificada,,,0,0
3491,Trementina Cedro,,,0,0
3492,Trementina De Venecia,,,0,0
3513,Triiodotironina,,,0,0
3515,Trimebutina Maleato,,A03AA05,0,0
4153,Tumenol,,,0,0
3580,Vadadustat,,,0,0
3648,Vinburnina,,C04AX17,0,0
3658,Virus Canaripox Recombinante De La Rabia (vcp65),,,0,0
3706,"Virus Rabia Inactivado, Cepa G52",,,0,0
3708,"Virus Rabia Inactivado, Cepa Pasteur Vp-13",,,0,0
3709,"Virus Rabia Inactivado, Cepa Sad Vnukovo-32",,,0,0
3712,"Virus Rabia Vivo Atenuado, Cepa Sag2",,,0,0
3704,"Virus Rabia, Inactivado, Cepa Cvs",,,0,0
3705,"Virus Rabia, Inactivado, Cepa Flury Lep",,,0,0
3707,"Virus Rabia, Inactivado, Cepa Pasteur Riv",,,0,0
3710,"Virus Rabia, Inactivado, Cepa Vp12",,,0,0
3711,"Virus Rabia, Inactivado, Cepa Wistar (pm/wi 38-1503-3m)",,,0,0
3713,"Virus Rabia, Vivo Atenuado, Cepa Spbn Gagas",,,0,0
3749,Vorasidenib,,L01XM04,0,0
