proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
cobeca,ABECAB TAB 5/20MG X30 CAPSUV,27812,7598055000418,10.11,,,,sin_match,sin_candidato
cobeca,ABINTRA PVO ALIM/GLUTAMINA NJA 27G MEG,19895,0612197152006,8.57,,,,sin_match,score_bajo
cobeca,ABRETIA CAP 10MG X10 MEG,17769,7591619520889,20,3781,ABRETIA 10 mg CAPSULAS,33.33,matched,score=0.736
cobeca,ABRETIA CAP 18MG X10 MEG,17770,7591619520896,27.01,3826,ABRETIA 18 mg CAPSULAS,45.02,matched,score=0.693
cobeca,ABRETIA CAP 25MG X20 MEG,17768,7591619520902,45.71,3827,ABRETIA 25 mg CAPSULAS,76.18,matched,score=0.736
cobeca,AC FOLICO COMP 5MG X20 MEG,23,7591619501017,1.43,1653,ACIDO FOLICO 5 mg COMPRIMIDOS,2.38,matched,score=0.878
cobeca,AC FOLICO TAB 10MG X10 BIOQ,53282,7594000851753,2.65,6571,ACIDO FOLICO 10 mg TABLETAS,4.42,matched,score=0.857
cobeca,AC FOLICO TAB 10MG X10 PLX,53779,7594001101321,1.06,3760,ACIDO FOLICO 10 mg TABLETAS,1.77,matched,score=0.857
cobeca,AC FOLICO TAB 5MG X10 BIOQ,53280,7594000850992,1.66,1653,ACIDO FOLICO 5 mg COMPRIMIDOS,2.77,matched,score=0.835
cobeca,AC IBANDRONICO TAB 150MG X1 ZUZU,52763,7599608003641,3.64,5962,ACIDO IBANDRONICO 150 mg TABLETAS RECUBIERTAS,6.07,matched,score=0.826
cobeca,AC TRANEXAMICO TAB 500MG X10 KMP,53498,8906069872393,5.17,6709,ACIDO TRANEXAMICO 500 mg TABLETAS RECUBIERTAS,8.62,matched,score=0.826
cobeca,AC VALPROICO JBE 250MG/5ML 180ML MED/SUP,22412,0731299120796,12.86,6742,ACIDO VALPROICO 250 mg / 5 mL JARABE,21.43,matched,score=0.683
cobeca,AC VALPROICO TAB REC 500MG X30 GEAG,51480,8906120990059,17.94,1989,VALPRON 500 mg TABLETAS,29.9,matched,score=0.627
cobeca,ACALIX TAB 60MG X30 VARG,4986,7592349001662,10.26,2002,ACALIX 60 mg TABLETAS,17.1,matched,score=0.859
cobeca,ACECLOFENACO TAB DISP 100MG X10 CR MT,53399,8908000942158,2.87,5626,ACECLOFENACO 100 mg TABLETAS RECUBIERTAS,4.78,matched,score=0.769
cobeca,ACEITA MINERAL 30ML RECETT,53418,7594001450092,1.75,,,,sin_match,no farmaco
cobeca,ACEITE BRONCEADOR HAWAIIAN TROPIC 240ML,52863,75486030568,12,,,,sin_match,no farmaco
cobeca,ACEITE CARBONELL EXTRA VIRGEN 750ML,19743,8410010272588,22.04,,,,sin_match,no farmaco
cobeca,ACEITE CARBONELL PURO SPRAY X 200ML,50459,8410010262688,7.19,,,,sin_match,no farmaco
cobeca,ACEITE CARBONELL SPR EXT/VIRGEN X 200ML,50460,8410010264224,7.65,,,,sin_match,sin_candidato
cobeca,ACEITE CORP IE ARNICA 250ML,51495,818821001485,9.52,,,,sin_match,no farmaco
cobeca,ACEITE CORP IE HIDRAT COCO 400ML,26537,8411047144138,13.01,,,,sin_match,no farmaco
cobeca,ACEITE COTTAGE DUCHA COCO X 560ML,50247,3141389954953,7.79,,,,sin_match,no farmaco
cobeca,ACEITE CREMOSO FC ARNICA 250ML,51345,7593090001765,10.39,,,,sin_match,no farmaco
cobeca,ACEITE D/AGUACATE KALDINI EXT VIRG 250ML,53716,745604998505,12.24,,,,sin_match,no farmaco
cobeca,ACEITE D/ALMEN BIOF DULCE 30ML,91785,7591616000032,2.23,,,,sin_match,no farmaco
cobeca,ACEITE D/ALMEN RECETT AER 70ML,22222,7594001455363,8.96,,,,sin_match,sin_candidato
cobeca,ACEITE D/ALMENDRA ARTEZA 200ML,29572,7599094000391,8.39,,,,sin_match,no farmaco
cobeca,ACEITE D/ALMENDRA ARTEZA X 100ML,29571,7599094000384,5.06,,,,sin_match,no farmaco
cobeca,ACEITE D/CASTOR 30ML BIOF,51262,7591616002272,5.34,,,,sin_match,no farmaco
cobeca,ACEITE D/COCO ARTEZA 200ML,29574,7599094000377,8.39,,,,sin_match,no farmaco
cobeca,ACEITE D/COCO ARTEZA X 100ML,29573,7599094000360,5.06,,,,sin_match,no farmaco
cobeca,ACEITE D/COCO BIOF 30ML,91784,7591616000056,3.19,,,,sin_match,no farmaco
cobeca,ACEITE D/COCO RECETT 30ML,14398,7594001450054,2.06,,,,sin_match,no farmaco
cobeca,ACEITE D/COCO RECETT 60ML,14399,7594001450061,3.79,,,,sin_match,no farmaco
cobeca,ACEITE D/COCO RECETT AER 70ML,22221,7594001455356,7.31,,,,sin_match,score_bajo
cobeca,ACEITE D/DUCHA BIODERMA ATODERM 200ML,52393,3401528519895,36.79,,,,sin_match,no farmaco
cobeca,ACEITE D/DUCHA COTTAGE ARGAN 560ML,21190,3141389954915,10.1,,,,sin_match,no farmaco
cobeca,ACEITE D/DUCHA COTTAGE MONOI 560ML,21191,3141389952812,10.07,,,,sin_match,no farmaco
cobeca,ACEITE D/OLIVA PURO 500ML,25167,8410010811749,14.66,,,,sin_match,no farmaco
cobeca,ACEITE D/OREGANO GTS 30ML NAT PREM,51012,7592430002646,9.09,,,,sin_match,sin_candidato
cobeca,ACEITE D/PALO 30ML RECETT,20885,7594001450122,4.06,,,,sin_match,no farmaco
cobeca,ACEITE D/PESCADO CAP BLD 1000MGX30 LINOF,25745,678358669530,9.96,,,,sin_match,sin_candidato
cobeca,ACEITE D/PESCADO CAP BLD 1000MGX60 LINOF,25743,678358669585,14.04,,,,sin_match,sin_candidato
cobeca,ACEITE D/RICINO 30ML BIOF,94710,7591616000131,3.99,,,,sin_match,no farmaco
cobeca,ACEITE D/RICINO 30ML LYA,25429,7599028000053,4.22,,,,sin_match,no farmaco
cobeca,ACEITE D/RICINO ALPHA BMT GTA 30ML,29473,7597773000168,5.7,,,,sin_match,no farmaco
cobeca,ACEITE D/RICINO PLUS 30ML CHEM/S,31251,7596139000101,5.52,,,,sin_match,no farmaco
cobeca,ACEITE D/RICINO RECETT 30ML,16873,7594001450153,4.08,,,,sin_match,no farmaco
cobeca,ACEITE D/RICINO RECETT AER 70ML,22223,7594001455370,6.57,,,,sin_match,sin_candidato
cobeca,ACEITE D/RICINO REVLON ORGANICO 50ML,52207,7506110681731,16.69,,,,sin_match,no farmaco
cobeca,ACEITE DE ALMENDRAS RECETTEMARK X30ML,14411,7594001450030,3.77,,,,sin_match,no farmaco
cobeca,ACEITE DERMISA HIDRAT/CORP 125ML,29446,766989000201,22.5,,,,sin_match,no farmaco
cobeca,ACEITE DERNIER CREMOSO BABY 200 G,15666,7596049000123,1.94,,,,sin_match,no farmaco
cobeca,ACEITE EXTRA VIRGEN 500ML,25166,8410010813729,15.66,,,,sin_match,no farmaco
cobeca,ACEITE LIMP SUPERF PLEDGE CER 500ML,53814,7501032915261,8.4,,,,sin_match,no farmaco
