descripcion_cobeca,codigo,codigo_barras,costo_usd,motivo
ABECAB TAB 5/20MG X30 CAPSUV,27812,7598055000418,10.11,sin_candidato
ABINTRA PVO ALIM/GLUTAMINA NJA 27G MEG,19895,0612197152006,8.57,score_bajo
ACEMUK COM/EFERV 200MG X 10 MEYER,28654,7795380002333,26.21,sin_candidato
ACEMUK JBE 2G/100ML X 100ML,28646,7795380043091,32,sin_candidato
ACETAB TAB 250MG X20 L.O,90118,7591196004802,14.37,score_bajo
"ACETACLOR JBE 125MG/0,5MG/5ML 120ML BIOF",53562,7591616002418,3.25,score_bajo
ACETAFEN FORTE JBE 180MG/5ML 120ML BIOF,25688,7591616002142,3.19,score_bajo
ACETOBEN JBE 120ML RNV,11,7592806121018,5.6,score_bajo
ACEVAL SOL PED 180MG/5ML 120ML VLM,22391,7591020008839,4.36,score_bajo
ACICLOVIR CREM 5% X 10G DISTRI,50169,7598252101345,8.78,score_bajo
ACICLOVIR TAB AP 1000MG X10 CR LATT,52952,756029628397,11.69,score_bajo
ACIDO BORICO CAP VAG 400MG X10 LYA,25478,7599028000787,5.35,score_bajo
ACLER TAB REC 150MG X1 CLX,15604,7591519051865,3.97,score_bajo
ACLOVIRAX CREM 5% 20G PHARME,51377,7703763671908,10.45,score_bajo
ACRYLARM GEL OFT 10G MEG,4089,7795368002249,27.4,score_bajo
ACTICAR JBE 1G/10ML X 120ML,30118,7594001101895,7.94,sin_candidato
ACTIVITON EXT CAP BLD X30 G PHAR,25268,7597189000264,11.91,sin_candidato
"ACTUMIR DUO TAB REC 12,5MG/1000MG X30",54437,7591821290716,19.35,score_bajo
ACTUMIR TAB REC 25MG X30 FARMA,53757,7591821210950,47.32,score_bajo
"ADAPALENO GEL TOP 0,1% 15G HM",52420,0632627843458,1.95,score_bajo
ADEL UNG 50G PONCE,41,7591309003692,4.88,score_bajo
ADEMINA 3E CREM DERMO PROT 60G LEF,13329,7591844000590,5.19,sin_candidato
ADEMINA KIDS CREM A/PAÑALITIS 60G LEF,13330,7591844000583,5.19,score_bajo
ADUANTAS COMP REC 40MG X10 FC,52066,7593090003202,4.34,sin_candidato
ADUANTAS COMP/REC 20MG X30 FC PHARMA,54537,7593090003196,5.14,sin_candidato
ADUANTAS COMP/REC 40MG X30 FC PHARMA,54538,7593090003219,6.75,sin_candidato
ADUANTAS DUO COMP REC 20MG/10MG X30 FC,53447,7593090002588,23.38,score_bajo
AEROCHAMBER INH AER FLEXMED 1-5AÑOS T M,53819,7591120000047,11.25,sin_candidato
AEROFLAT GTS 80MG/ML 20ML COFA,95625,7591818210406,6.02,score_bajo
AEROFLOW BLESS FLOW-VU PED,50096,7597467002188,23.31,sin_candidato
AFLAMAX TAB REC 50MG X10 L.O,19583,7591196007186,2.86,score_bajo
AFLAMAX TAB REC 50MG X20 L.O,92341,7591196004451,4.36,score_bajo
AGUA D/MAR ZAFIRE ISOTONICA PED X 100ML,28744,8436567241785,15.85,score_bajo
AGURIN COMP 1G X20 ADIUM,53631,7841141005447,3.62,score_bajo
"AIRCOF PLUS TAB MAST 5MG/2,5MG X30 COFA",53225,7591818000700,5.66,score_bajo
AIRCOF PLUS TAB REC 10MG/5MG X30 COFA,53332,7591818000649,6.45,score_bajo
AIRCOF TAB MAST 10MG X30 COFA,53060,7591818000663,6.45,score_bajo
AIRCOF TAB MAST 5MG X30 COFA,15118,7591818210413,5.07,score_bajo
AIRFEN GTS AD 15ML COFA,4339,7591818111017,5.72,score_bajo
