proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
drovencentro,ABRETIA 10MG 10CAPS ATOMOXETINA,7591619520889       ,"MEGALABS VZL, C.A.",16.11,3781,ABRETIA 10 mg CAPSULAS,26.85,matched,score=0.914
drovencentro,ABRETIA 18MG 10CAPS ATOMOXETINA,7591619520896       ,"MEGALABS VZL, C.A.",21.76,,,,sin_match,sin_candidato
drovencentro,ABRETIA 25MG  20CAPS ATOMOXETINA,7591619520902       ,"MEGALABS VZL, C.A.",41.15,3827,ABRETIA 25 mg CAPSULAS,68.58,matched,score=0.910
drovencentro,ACALIX 60MG 30TAB VARGAS,7592349001662       ,"LABORATORIOS VARGAS, S.A",8.75,,,,sin_match,sin_candidato
drovencentro,ACEBLU+PLUS  650MG  10TAB ACETAMINOFEN BLUE MEDICAL,7598127001671       ,REPRESENTACIONES BLUE MEDICAL TRADE C.A.,0.4,,,,sin_match,sin_candidato
drovencentro,ACECLOFENACO 100MG TAB DISP 10 MT GLOBAL CARE,8908000942158       ,"MT GLOBAL CARE, C.A.",1.74,,,,sin_match,sin_candidato
drovencentro,ACEITE DE COCO 30ML FSI  1 FRASCO,7592368000073       ,"LABORATORIO FSI., C.A.",1.99,,,,sin_match,sin_candidato
drovencentro,ACEITE DE COCO 30ML RECETTMARKET,7594001450054       ,"LABORATORIO RECETTEMARK, C.A.",2.21,,,,sin_match,sin_candidato
drovencentro,ACEITE DE COCO 60ML RECETTMARKET,7594001450061       ,"LABORATORIO RECETTEMARK, C.A.",4.06,,,,sin_match,sin_candidato
drovencentro,ACEITE DE PALO 30ML RECETTMARKET,7594001450122       ,"LABORATORIO RECETTEMARK, C.A.",3.4,,,,sin_match,sin_candidato
drovencentro,ACEITE DE RICINO 120ML ABEJITA,7597134000103       ,FABIO MEJIA OSPINA  (LABORATORIO LA ABEJITA),6.27,,,,sin_match,sin_candidato
drovencentro,ACEITE DE RICINO 30ML  LYA,7599028000053       ,"LABORATORIOS LYA, C.A",3.67,,,,sin_match,sin_candidato
drovencentro,ACEITE DE RICINO 30ML FSI 1FRASCO,7592368000165       ,"LABORATORIO FSI., C.A.",2.65,,,,sin_match,sin_candidato
drovencentro,ACEITE DE RICINO 30ML RECETTMARKET,7594001450153       ,"LABORATORIO RECETTEMARK, C.A.",4.34,,,,sin_match,sin_candidato
drovencentro,ACEITE DE RICINO PLUS SOL 30ML SOMA,7596139000101       ,"CHEMYCAL´S SOMA C,A.HOSP",5.23,,,,sin_match,sin_candidato
drovencentro,ACEITE MINERAL 30ML 1UNID FSI,7592368000196       ,"LABORATORIO FSI., C.A.",1.55,,,,sin_match,sin_candidato
drovencentro,ACEITE MINERAL 30ML RECETTMARKET,7594001450092       ,"LABORATORIO RECETTEMARK, C.A.",7.02,,,,sin_match,sin_candidato
drovencentro,ACEITE OZONIZADO GIRASOL COCO 60ML OZONEPUI,7593319001958       ,"CORPORACION AMODIO, C.A.",10.76,,,,sin_match,sin_candidato
drovencentro,ACEMAX 650MG  10TAB ACETAMINOFEN SUPLIMEDIC,220114              ,"DROGUERIA SUPLIMEDIC 501, C.A.",1.1,,,,sin_match,sin_candidato
drovencentro,ACEMAX 650MG 10TAB 10BLIS ACETAMINOFEN SUPLIMEDIC,220113              ,"DROGUERIA SUPLIMEDIC 501, C.A.",5.9,,,,sin_match,sin_candidato
drovencentro,ACEMUK 200MG 10COMP EFEV SIEGFRIED,7795380002333       ,LABORATORIOS SIEGFRIED S.A.,12.42,,,,sin_match,sin_candidato
drovencentro,ACETAB 250MG 20TAB OFTALMI,7591196004802       ,"LABORATORIOS L.O OFTALMI, C.A",11.91,3953,ACETAB 250 mg TABLETAS,19.85,matched,score=0.874
drovencentro,ACETAMINOFEN  650MG10 TAB JKN MED,7590166240011       ,"GRUPO JKN MED, C.A",0.62,,,,sin_match,sin_candidato
drovencentro,ACETAMINOFEN + PLUS 800MG 10TAB BLUE MEDICAL,7598127000988       ,REPRESENTACIONES BLUE MEDICAL TRADE C.A.,0.51,,,,sin_match,sin_candidato
