id,sku,nombre_comercial,molecula,forma,laboratorio,fuente_inhrr_ef
"39606","","TRAMAL 100 mg / mL SOLUCION ORAL","","","",""
"37679","ME43783","CARBAMAZEPINA 200 mg X 30 TABLETAS","Carbamazepina","TABLETAS","JIANGXI SYNERGY PHARMACEUTICAL CO., LTD","E.F.G.43.783"
"37638","ME42932/4","VITAMINA C - ZINC 500 mg - 15 mg X 60 TABLETAS MASTICABLES SABOR A MANDARINA","Ascorbico Acido - Zinc","TABLETAS","BIONUTREC S.A.S.","E.F.G.42.932"
"38876","ME37412","TOBRAMICINA 300 mg/5 ml SOLUCION PARA INHALACION","Tobramicina","INHALACION","CATALENT PHARMA SOLUTIONS, LLC, USA","E.F.G.37.412"
"38654","ME41148","PEREBRON 28 mg / 5 mL JARABE SABOR MIEL - LIMON","","JARABE","LABORATORIOS ELMOR, S.A.","E.F.41.148"
"37622","ME36416","BRUGESIC FORTE 200 mg / 5 mL X 10 SUSPENSION ORAL","Ibuprofeno","SUSPENSION ORAL","LABORATORIOS ELMOR, S.A.","E.F.36.416"
"37987","ME42749","DULOXETINA 60 mg X 28 TABLETAS GASTRORRESISTENTES","Duloxetina","TABLETAS","HIRAL LABS Ltd.","E.F.G.42.749"
"38910","ME43451","UROSINA 0,4 mg X 30 TABLETAS RECUBIERTAS DE LIBERACION PROLONGADA","","TABLETAS","RONALD PHARMACEUTICALS Pvt. Ltd.","E.F.43.451"
"37693","ME38916/6","CARVEDILOL 6,5mg X 30 TABLETAS","Carvedilol","TABLETAS","OKASA PHARMA ,PVT,LTDA","E.F.G.38.916"
"38008","ME1103","ENTEROGERMINA (ESPORAS DE BACILLUS CLAUSII) 2 MILLARDOS / 5 mL X 10 SUSPENSION ORAL","","SOLUCION ORAL","CALOX INTERNATIONAL, C.A.","P.B.1.103"
"37754","HO44679","CIPROFLOXACINA INFUSIÓN 0.2 g / 100 mL SOLUCION PARA INFUSION INTRAVENOSA","Ciprofloxacino","INYECTABLE","U SQUARE LIFESCIENCE PVT. LTD.","E.F.G.44.679"
"37361","ME37466","FUCIDIN H 20 mg - 10 mg/g CREMA.","Acido Fusidico Hemihidrato","CREMA","LEO LABORATORIES LTD, IRLANDA","E.F.37.466"
"39611","","TRAMAL 100 mg / mL SOLUCION ORAL","","","",""
"37844","ME39494/3","CORENTEL 1,25 mg X 30 COMPRIMIDOS RECUBIERTOS","","COMPRIMIDOS","MEGALABS VZL, C.A.","E.F.39.494"
"37632","HO43908","BUPIVACAINA 50 mg/10 mL SOLUCIÓN INYECTABLE","Bupivacaina","INYECTABLE","MEDVAL, C.A.","E.F.G.43.908"
"37890","ME34405/2","DESLORAT 5 mg X 10 TABLETAS RECUBIERTAS","Desloratadina","TABLETAS","LABORATORIOS L.O. OFTALMI, C.A.","E.F.34.405"
