id,sku,nombre_comercial,molecula,forma,laboratorio,presentacion,unidades_por_presentacion,costo_usd,precio_usd,disponible
37304,ME44030,ACIDO VALPROICO 250 mg / 5 mL JARABE,Valproato Sodio,JARABE,CAPLIN POINT LABORATORIES LIMITED,,,12.86,21.43,true
37312,ME43707,ACETAMINOFEN 150 mg / 5 mL JARABE,Acetaminofen,JARABE,AARTI PHARMALABS LIMITED,,,4.66,7.77,true
37319,ME23275/2,ACETAMINOFEN 500 mg X 10 TABLETAS,Acetaminofen,TABLETAS,"LABORATORIO PLUSANDEX DE FARMACEUTICOS UNIDOS, PLUSANDEX, C.A.",X 10 TABLETAS,10,0.82,1.37,true
37322,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg X 20 TABLETAS RE,,TABLETAS,"LABORATORIOS LA SANTE, C.A. VENEZUELA",X 20 TABLETAS RE,20,1.06,1.77,true
37337,HO1046,MONARC- M 250 u. 1 X 1 AMPOLLAS,,INYECTABLE,CORPORACION COLIMODIO C.A.,X 1 AMPOLLAS,1,6.22,10.37,true
37340,ME26178/2,ACICLOVIR 200 mg X 10 TABLETAS,Aciclovir,TABLETAS,LABORATORIO PIFANO C.A.,X 10 TABLETAS,10,1.95,3.25,true
37343,ME42505,ACICLOVIR 400 mg X 100 TABLETAS,Aciclovir,TABLETAS,CAPLIN POINT LABORATORIES LIMITED,X 100 TABLETAS,100,18.24,30.40,true
37344,ME44064,ACICLOVIR 5% CREMA TOPICA,Aciclovir,SOLUCION TOPICA,"CALOX INTERNATIONAL, C.A.",,,11.81,19.68,true
37346,ME34553/3,ACIDO ACETILSALICILICO 81 mg X 30 TABLETAS CON CUBIERTA ENTERICA,,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",X 30 TABLETAS CON CUBIERTA ENTERICA,30,3.48,5.80,true
37348,ME42963,ACIDO ASCORBICO 100 mg / mL SOLUCION ORAL,Ascorbico Acido,SOLUCION ORAL,"BIOQUIMICA INTERNACIONAL, C.A.",,,6,10.00,true
37349,ME1457,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO) 20mg / mL - 3 mg/mL GEL INYECTABLE,Hialuronico Acido,INYECTABLE,Q-MED AB.,,,1.47,2.45,true
37352,HO3187/4,ACIDO FOLICO 10 mg / mL X 20 AMPOLLAS,Folico Acido,INYECTABLE,"MEGALABS VZL, C.A.",X 20 AMPOLLAS,20,1.99,3.32,true
37353,ME33347,ACIDO FOLICO 10 mg COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"LABORATORIOS VARGAS, S.A.",,,0.99,1.65,true
37356,ME4630/2,ACIDO FOLICO 10 mg X 10 COMPRIMIDOS,Folico Acido,COMPRIMIDOS,"MEGALABS VZL, C.A.",X 10 COMPRIMIDOS,10,1.29,2.15,true
37361,ME37466,FUCIDIN H 20 mg - 10 mg/g CREMA.,Acido Fusidico Hemihidrato,CREMA,"LEO LABORATORIES LTD, IRLANDA",,,11.32,18.87,true
37365,ME23174/4,VALPRON 500 mg X 60 TABLETAS,Valproico Acido,TABLETAS,LABORATORIOS FARMA S.A.,X 60 TABLETAS,60,27.35,45.58,true
37366,ME38066,ACIDO IBANDRONICO 150 mg X 1 TABLETAS RECUBIERTAS,,TABLETAS,"CALOX INTERNATIONAL, C.A.",X 1 TABLETAS RECUBIERTAS,1,3.97,6.62,true
37380,ME33783/2,AIRON 10 mg X 10 TABLETAS RECUBIERTAS,Montelukast,TABLETAS,"LABORATORIOS L.O. OFTALMI, C.A.",X 10 TABLETAS RECUBIERTAS,10,5.98,9.97,true
37382,ME27081,ALBENDAZOL 400 mg / 10 mL SUSPENSION,Albendazol,SUSPENSION ORAL,"LABORATORIO COFASA, S.A.",,,2.27,3.78,true
37388,ME28826,ALBICAR 400 mg / 10 mL SUSPENSION,Albendazol,SUSPENSION ORAL,"LABORATORIOS ELMOR, S.A.",,,3.4,5.67,true
37393,ME33876,"ALERGOT 0,05 % SOLUCION OFTALMICA",Azelastina,SOLUCION OFTALMICA,"LABORATORIOS L.O. OFTALMI, C.A.",,,3.32,5.53,true
37394,ME35409,"ALFADYN 0,2 % SOLUCION OFTALMICA",Brimonidina,SOLUCION OFTALMICA,"LABORATORIOS L.O. OFTALMI, C.A.",,,13.08,21.80,true
37399,ME43815,"ALIVET 100 mg - 0,42 mg / mL X 10 SOLUCIÓN ORAL",Acetaminofen - Clorfenamina,SOLUCION ORAL,"LABORATORIOS LETI, S.A.V.",X 10 SOLUCIÓN ORAL,10,8.81,14.68,true
37408,ME33085/3,ALSART 160 mg X 30 CAPSULAS,Valsartan,CAPSULAS,LABORATORIOS SIEGFRIED S.A.,X 30 CAPSULAS,30,9.48,15.80,true
37414,ME28493,AMBROXOL CLORHIDRATO 30 mg / 5 mL JARABE,Ambroxol,JARABE,"LABORATORIO LA SANTE, C.A.",,,5.92,9.87,true
37415,ME29182,CLORHIDRATO DE AMBROXOL 15mg /5mL.SOLUCION ORAL,Ambroxol,SOLUCION ORAL,"MEGALABS VZL, C.A.",,,3.17,5.28,true
37416,ME29181,CLORHIDRATO DE AMBROXOL 30mg/5mL SOLUCION ORAL,Ambroxol,SOLUCION ORAL,"LABORATORIOS KIMICEG, C.A.",,,2.64,4.40,true
37427,ME32016/2,AMLODIPINA 10 mg X 10 TABLETAS,Amlodipino,TABLETAS,"CALOX INTERNATIONAL, C.A.",X 10 TABLETAS,10,1.13,1.88,true
37435,ME42534,"AMOXICILINA - ACIDO CLAVULANICO 250 mg - 62,5 mg / 5 mL POLVO PARA SUSPENSION ORAL",Amoxicilina - Clavulanico Acido,POLVO PARA RECONSTITUCION,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",,,2.21,3.68,true
37436,ME44341,SINOT CLAV 875 mg – 125 mg X 14 COMPRIMIDOS,Amoxicilina,COMPRIMIDOS,MOMENTA FARMACEUTICA LTDA.,X 14 COMPRIMIDOS,14,11.73,19.55,true
37437,ME43309,CLAVULAM 875 mg - 125 mg TABLETAS RECUBIERTAS,Amoxicilina - Clavulanico Acido,TABLETAS,LABORATE PHARMACEUTICALS INDIA LTD,,,17.32,28.87,true
37441,ME20340/4,AMOXICILINA 500 mg X 12 CAPSULAS,Amoxicilina,CAPSULAS,"CALOX INTERNATIONAL, C.A.",X 12 CAPSULAS,12,4.79,7.98,true
37445,ME20104,AMOXICILINA 125 mg / 5 mL POLVO PARA SUSPENSION,Amoxicilina,POLVO PARA RECONSTITUCION,"CALOX INTERNATIONAL, C.A.",,,8.91,14.85,true
37447,ME25639,AMOXICILINA 250 mg / 5 mL POLVO PARA SUSPENSION,Amoxicilina,POLVO PARA RECONSTITUCION,SYNTOFARMA S.A.,,,1.3,2.17,true
37456,ME35424,ANALPER PLUS 500 mg - 10 mg X 10 TABLETAS RECUBIERTAS,,TABLETAS,"LABORATORIO LA SANTE, C.A.",X 10 TABLETAS RECUBIERTAS,10,5.39,8.98,true
37461,ME24592/2,ANASMOL 5 mg X 10 COMPRIMIDOS,Warfarina,COMPRIMIDOS,"MEGALABS VZL, C.A.",X 10 COMPRIMIDOS,10,5.84,9.73,true
37466,ME31329/4,ANGRIP X 15 COMPRIMIDOS,,COMPRIMIDOS,"MEGALABS VZL, C.A.",X 15 COMPRIMIDOS,15,6.23,10.38,true
37471,ME43410/2,"ANTAAR 1,25 mg X 10 TABLETAS RECUBIERTAS",,TABLETAS,"CALOX INTERNATIONAL, C.A.",X 10 TABLETAS RECUBIERTAS,10,2.68,4.47,true
37474,ME40266,ANTILAX PLUS 2 mg - 125 mg X 10 CAPSULAS,,CAPSULAS,LABORATORIOS FARMA S.A.,X 10 CAPSULAS,10,3.05,5.08,true
37476,ME42864,APIRET 120 mg / 5 mL SOLUCION ORAL,,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",,,5.04,8.40,true
37477,ME42860,APIRET 160 mg / 5 mL SOLUCION ORAL,,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",,,2.52,4.20,true
37479,ME42943,APIRETFLU DIA X 6 GRANULADO,Acetaminofen - Cafeina,GRANULADOS,"LABORATORIOS L.O. OFTALMI, C.A.",X 6 GRANULADO,6,9.86,16.43,true
37486,ME37211/3,"ARANDA 2,5 mg - 50 mg X 30 CAPSULAS",Losartan,CAPSULAS,ACHE LABORATORIOS FARMACEUTICOS S.A.,X 30 CAPSULAS,30,10.49,17.48,true
