ef,sku,nombre_antes,nombre_despues,forma,frase_quitada,flag
E.F.36.296,ME36296,ABRETIA 10 mg CAPSULAS X 10 capsulas,ABRETIA 10 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.36.437,ME36437,ABRETIA 18 mg CAPSULAS X 10 capsulas,ABRETIA 18 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.36.438,ME36438,ABRETIA 25 mg CAPSULAS X 20 capsulas,ABRETIA 25 mg X 20 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.4.629,ME4629/3,ACIDO FOLICO 5 mg COMPRIMIDOS X 20 comprimidos,ACIDO FOLICO 5 mg X 20 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.4.629,ME4629/4,ACIDO FOLICO 5 mg COMPRIMIDOS X 30 comprimidos,ACIDO FOLICO 5 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.4.629,ME4629/2,ACIDO FOLICO 5 mg COMPRIMIDOS X 10 tabletas,ACIDO FOLICO 5 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.43.837,ME43837,ACIDO FOLICO 10 mg TABLETAS X 10 tabletas,ACIDO FOLICO 10 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.36.224,ME36224/2,ACIDO FOLICO 10 mg TABLETAS X 10 tabletas,ACIDO FOLICO 10 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.36.224,ME36224/3,ACIDO FOLICO 10 mg TABLETAS X 20 tabletas,ACIDO FOLICO 10 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.36.224,ME36224/4,ACIDO FOLICO 10 mg TABLETAS X 30 tabletas,ACIDO FOLICO 10 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.836,ME43836,ACIDO FOLICO 5 mg TABLETAS X 10 tabletas,ACIDO FOLICO 5 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.094,ME43094,ACIDO IBANDRONICO 150 mg TABLETAS RECUBIERTAS X 1 tabletas,ACIDO IBANDRONICO 150 mg X 1 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.43.992,ME43992,ACIDO TRANEXAMICO 500 mg TABLETAS RECUBIERTAS X 10 tabletas,ACIDO TRANEXAMICO 500 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.23.534,ME23534,ACALIX 60 mg TABLETAS X 30 tabletas,ACALIX 60 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.42.665,ME42665,ACECLOFENACO 100 mg TABLETAS RECUBIERTAS X 10 dispersable,ACECLOFENACO 100 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.36.867,ME36867,ACETAB 250 mg TABLETAS X 20 tabletas,ACETAB 250 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.33.539,ME33539,ACETAMINOFEN 500 COMPRIMIDOS X 10 comprimidos,ACETAMINOFEN 500 X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.43.639,ME43639/2,ACETAMINOFEN 650mg TABLETAS X 10 comprimidos,ACETAMINOFEN 650mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.639,ME43639/3,ACETAMINOFEN 650mg TABLETAS X 20 comprimidos,ACETAMINOFEN 650mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.639,ME43639/4,ACETAMINOFEN 650mg TABLETAS X 30 comprimidos,ACETAMINOFEN 650mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.25.466,ME25466/2,ACETAMINOFEN 500 mg COMPRIMIDOS X 10 oftalmica,ACETAMINOFEN 500 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.25.466,ME25466/3,ACETAMINOFEN 500 mg COMPRIMIDOS X 30 oftalmica,ACETAMINOFEN 500 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.31.234,ME31234,ACETAMINOFEN 500 mg TABLETAS X 10 tabletas,ACETAMINOFEN 500 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.23.275,ME23275/2,ACETAMINOFEN 500 mg TABLETAS X 10 tabletas,ACETAMINOFEN 500 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.23.275,ME23275/3,ACETAMINOFEN 500 mg TABLETAS X 12 tabletas,ACETAMINOFEN 500 mg X 12 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.23.275,ME23275/4,ACETAMINOFEN 500 mg TABLETAS X 24 tabletas,ACETAMINOFEN 500 mg X 24 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.37.101,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg TABLETAS RE X 20 tabletas,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg X 20 TABLETAS RE,TABLETAS,TABLETAS RE,limpio
E.F.G.37.101,ME37101/2,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg TABLETAS RE X 10 tabletas,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg X 10 TABLETAS RE,TABLETAS,TABLETAS RE,limpio
E.F.G.37.095,ME37095,ACETAMINOFEN 500 mg TABLETAS X 20 tabletas,ACETAMINOFEN 500 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.39.115,ME39115,"ACETAMINOFEN - TRAMADOL 325 mg - 37,5 mg COMPRIMIDOS X 10 tabletas","ACETAMINOFEN - TRAMADOL 325 mg - 37,5 mg X 10 COMPRIMIDOS",COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.34.148,ME34148/3,ACETAZOLAMIDA 250 mg TABLETAS X 20 tabletas,ACETAZOLAMIDA 250 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.34.148,ME34148/2,ACETAZOLAMIDA 250 mg TABLETAS X 10 tabletas,ACETAZOLAMIDA 250 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.30.496,ME30496/2,ACEVAL 650 mg TABLETAS X 10 tabletas,ACEVAL 650 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.30.496,ME30496/3,ACEVAL 650 mg TABLETAS X 50 tabletas,ACEVAL 650 mg X 50 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.31.082,ME31082,ACICLOR 1 g COMPRIMIDOS A.P. X 10 comprimidos,ACICLOR 1 g X 10 COMPRIMIDOS A.P.,COMPRIMIDOS,COMPRIMIDOS A.P.,limpio
P.B.1.046,HO1046,MONARC- M 250 u. 1 vial POLVO LIOFILIZADO PARA SOLUCION INYECTABLE X 1 inyectable,MONARC- M 250 u. 1 X 1 AMPOLLAS,INYECTABLE,vial POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,limpio
E.F.G.26.178,ME26178/3,ACICLOVIR 200 mg TABLETAS X 20 tabletas,ACICLOVIR 200 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.26.178,ME26178/2,ACICLOVIR 200 mg TABLETAS X 10 tabletas,ACICLOVIR 200 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.26.178,ME26178/4,ACICLOVIR 200 mg TABLETAS X 24 tabletas,ACICLOVIR 200 mg X 24 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.31.108,ME31108,ACICLOVIR 200 mg TABLETAS X 25 tabletas,ACICLOVIR 200 mg X 25 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.42.505,ME42505,ACICLOVIR 400 mg TABLETAS X 100 tabletas,ACICLOVIR 400 mg X 100 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.34.553,ME34553/2,ACIDO ACETILSALICILICO 81 mg TABLETAS CON CUBIERTA ENTERICA X 24 tabletas,ACIDO ACETILSALICILICO 81 mg X 24 TABLETAS CON CUBIERTA ENTERICA,TABLETAS,TABLETAS CON CUBIERTA ENTERICA,limpio
E.F.G.34.553,ME34553/3,ACIDO ACETILSALICILICO 81 mg TABLETAS CON CUBIERTA ENTERICA X 30 tabletas,ACIDO ACETILSALICILICO 81 mg X 30 TABLETAS CON CUBIERTA ENTERICA,TABLETAS,TABLETAS CON CUBIERTA ENTERICA,limpio
E.F.G.3.187,HO3187/3,ACIDO FOLICO 10 mg / mL SOLUCION INYECTABLE X 10 solucion inyectable,ACIDO FOLICO 10 mg / mL X 10 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
