ef,sku,nombre_comercial,forma,costo_usd,precio_usd
P.F.1.370,HO1370B,SOLUCION DE RINGER LACTATO (SOLUCION DE HARTMANN) INYECTABLE,INYECTABLE,1.98,3.30
E.F.G.15.879,HO15879,MANITOL AL 18 % SOLUCION INYECTABLE INTRAVENOSA,INYECTABLE,10.34,17.23
P.F.1.672,HO1672,SOLUCION ISOTONICA DE CLORURO DE SODIO(SOL.FISIOLOGICA)PARENTERAL,INYECTABLE,1.7,2.83
E.F.G.1.694,HO1694,AGUA DESTILADA ESTERIL SOLUCION INYECTABLE,INYECTABLE,7.97,13.28
E.F.20.294,HO20294,DECOBEL 8 mg / 2 mL SOLUCION INYECTABLE,INYECTABLE,4.39,7.32
E.F.G.21.515,HO21515,FOSFATO DE POTASIO MONOBASICO 1 mEq / mL SOLUCION INYECTABLE I.V.,INYECTABLE,6.05,10.08
E.F.G.29.420,HO29420,CEFTRIAXONA 1 g POLVO PARA SOLUCION INYECTABLE,INYECTABLE,2.6,4.33
E.F.29.980,HO29980,POLIAMIN 10 % (AMINOACIDOS CRISTALINOS) SOLUCION INYECTABLE INTRAVENOSA,INYECTABLE,40.71,67.85
E.F.30.851,HO30851,BACTRIZOL 5 mg / mL SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,INYECTABLE,8.56,14.27
E.F.G.32.515,HO32515,CLORURO DE SODIO AL 20 % SOLUCION HIPERTONICA INYECTABLE,INYECTABLE,8.28,13.80
E.F.G.32.556,HO32556,GLUCONATO DE CALCIO AL 10 % SOLUCION INYECTABLE,INYECTABLE,9.1,15.17
E.F.G.32.565,HO32565,DEXTROSA AL 5 % EN AGUA DESTILADA SOLUCION INYECTABLE,INYECTABLE,4.97,8.28
E.F.G.32.579,HO32579,SOLUCION RINGER LACTATO (SOLUCION HARTMAN) INYECTABLE,INYECTABLE,1.99,3.32
E.F.G.32.804,HO32804,AGUA BIDESTILADA INYECTABLE,INYECTABLE,5.57,9.28
E.F.G.32.824,HO32824,LIDOCAINA - EPINEFRINA 2 % - 1:50.000 SOLUCION INYECTABLE,INYECTABLE,12.21,20.35
E.F.G.33.361,HO33361,METRONIDAZOL 500 mg / 100 mL SOLUCION PARA INFUSION INTRAVENOSA,INYECTABLE,1.45,2.42
E.F.33.373,HO33373,DECA LENTERMINA COMPLEX SOLUCION INYECTABLE,INYECTABLE,5.69,9.48
E.F.33.694,HO33694,VORCUM 200 mg POLVO LIOFILIZADO PARA SOLUCION PARA INFUSION,INYECTABLE,68.35,113.92
E.F.G.35.867,HO35867,BUTILBROMURO DE HIOSCINA 20 mg / ml SOLUCION INYECTABLE,INYECTABLE,5.34,8.90
E.F.36.034,HO36034,LEVOTEC 5 mg / mL SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,INYECTABLE,9.75,16.25
E.F.36.380,HO36380,CLINDOX - D 12 mg / mL SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,INYECTABLE,7.46,12.43
E.F.G.37.055,HO37055,CLORURO DE POTASIO 2 mEq /ml SOLUCION INYECTABLE,INYECTABLE,10.53,17.55
E.F.G.37.449,HO37449,LEVOFLOXACINA 500 mg/100mL SOLUCION PARA INFUSION INTRAVENOSA,INYECTABLE,1.51,2.52
E.F.G.37.696,HO37696,SULFATO DE MAGNESIO 10 % SOLUCION INYECTABLE,INYECTABLE,1.35,2.25
E.F.G.39.066,HO39066,DEXTROSA 50 % SOLUCION INYECTABLE IV,INYECTABLE,2.45,4.08
E.F.40.559,HO40559,LINEZID 2 mg/ ml SOLUCION INYECTABLE PARA INFUSION IV,INYECTABLE,18.57,30.95
E.F.G.40.581,HO40581,ACICLOVIR 250 mg POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,INYECTABLE,9.81,16.35
E.F.G.40.840,HO40840,FLUCONAZOL 200 mg /100 mL SOLUCION INYECTABLE INTRAVENOSA,INYECTABLE,1.65,2.75
E.F.G.41.149,HO41149,"PALONOSETRON 0,25 mg / 5 mL SOLUCION INYECTABLE",INYECTABLE,63.6,106.00
E.F.G.41.409,HO41409,FENITOINA SODICA 50 mg / mL SOLUCION INYECTABLE,INYECTABLE,1.17,1.95
E.F.G.42.390,HO42390,METRONIDAZOL 500 mg / 100 mL SOLUCIÓN PARA INFUSIÓN.,INYECTABLE,2.68,4.47
E.F.G.42.502,HO42502,DEXAMETASONA FOSFATO SODICO 8 mg / 2 mL SOLUCION INYECTABLE,INYECTABLE,7.38,12.30
E.F.G.42.510,HO42510,DEXAMETASONA FOSFATO SODICO 4 mg / mL SOLUCION INYECTABLE,INYECTABLE,3.87,6.45
E.F.G.43.429,HO43429,FLUCONAZOL 200 mg / 100 mL SOLUCION PARA INFUSION,INYECTABLE,2.2,3.67
E.F.G.43.908,HO43908,BUPIVACAINA 50 mg/10 mL SOLUCIÓN INYECTABLE,INYECTABLE,4.68,7.80
E.F.G.43.916,HO43916,Lidocaina 2% con Adrenalina 1: 80.000 Solución Inyectable,INYECTABLE,47.79,79.65
E.F.G.43.918,HO43918,KETOPROFENO 50 mg / mL SOLUCIÓN INYECTABLE,INYECTABLE,8.88,14.80
E.F.G.44.116,HO44116,PARACETAMOL 1 g / 100 mL SOLUCION PARA INFUSION,INYECTABLE,5.31,8.85
E.F.G.44.464,HO44464,ACIDO ASCORBICO 500 mg / 5 mL SOLUCIÓN INYECTABLE,INYECTABLE,20.32,33.87
E.F.G.44.679,HO44679,CIPROFLOXACINA INFUSIÓN 0.2 g / 100 mL SOLUCION PARA INFUSION INTRAVENOSA,INYECTABLE,12.34,20.57
E.F.G.44.719,HO44719,CIPROFLOXACINA 200 MG/100 ML SOLUCION INYECTABLE,INYECTABLE,2.9,4.83
E.F.9.189,HO9189,CIFARCAINA AL 1 % SOLUCION INYECTABLE,INYECTABLE,8.36,13.93
E.F.11.043,ME11043,FRIXONIL SOLUCION,LOCION,4.58,7.63
E.F.12.460,ME12460,PEREBRON 28 mg / 5 mL JARABE SABOR A FRAMBUESA,JARABE,5.82,9.70
E.F.12.998,ME12998,TILODRIN 4 mg / mL SOLUCION ORAL,SOLUCION ORAL,3.29,5.48
E.F.13.354,ME13354,"FANASAL 0,05 % SOLUCION NASAL",SOLUCION NASAL,2.73,4.55
