proveedor,descripcion,costo,motivo
cobeca,ABECAB TAB 5/20MG X30 CAPSUV,10.11,sin_candidato
cobeca,ABINTRA PVO ALIM/GLUTAMINA NJA 27G MEG,8.57,score_bajo
cobeca,ACEITE CARBONELL SPR EXT/VIRGEN X 200ML,7.65,score_bajo
cobeca,ACEITE D/ALMEN RECETT AER 70ML,8.96,score_bajo
cobeca,ACEITE D/COCO RECETT AER 70ML,7.31,score_bajo
cobeca,ACEITE D/OREGANO GTS 30ML NAT PREM,9.09,score_bajo
cobeca,ACEITE D/PESCADO CAP BLD 1000MGX30 LINOF,9.96,score_bajo
cobeca,ACEITE D/PESCADO CAP BLD 1000MGX60 LINOF,14.04,score_bajo
cobeca,ACEITE D/RICINO RECETT AER 70ML,6.57,score_bajo
cobeca,ACEMUK COM/EFERV 200MG X 10 MEYER,26.21,sin_candidato
cobeca,ACEMUK JBE 2G/100ML X 100ML,32,sin_candidato
cobeca,ACETAB TAB 250MG X20 L.O,14.37,score_bajo
cobeca,"ACETACLOR JBE 125MG/0,5MG/5ML 120ML BIOF",3.25,score_bajo
cobeca,ACETAFEN FORTE JBE 180MG/5ML 120ML BIOF,3.19,score_bajo
cobeca,ACETOBEN JBE 120ML RNV,5.6,score_bajo
cobeca,ACEVAL SOL PED 180MG/5ML 120ML VLM,4.36,score_bajo
cobeca,ACICLOVIR TAB AP 1000MG X10 CR LATT,11.69,score_bajo
cobeca,ACIDO BORICO CAP VAG 400MG X10 LYA,5.35,score_bajo
cobeca,ACLER TAB REC 150MG X1 CLX,3.97,score_bajo
cobeca,ACLOVIRAX CREM 5% 20G PHARME,10.45,score_bajo
cobeca,ACRYLARM GEL OFT 10G MEG,27.4,score_bajo
cobeca,ACTICAR JBE 1G/10ML X 120ML,7.94,sin_candidato
cobeca,ACTIVITON EXT CAP BLD X30 G PHAR,11.91,sin_candidato
cobeca,"ACTUMIR DUO TAB REC 12,5MG/1000MG X30",19.35,score_bajo
cobeca,ACTUMIR TAB REC 25MG X30 FARMA,47.32,score_bajo
cobeca,"ADAPALENO GEL TOP 0,1% 15G HM",1.95,score_bajo
cobeca,ADEL UNG 50G PONCE,4.88,score_bajo
cobeca,ADEMINA 3E CREM DERMO PROT 60G LEF,5.19,sin_candidato
cobeca,ADEMINA KIDS CREM A/PAÑALITIS 60G LEF,5.19,score_bajo
cobeca,ADUANTAS COMP REC 40MG X10 FC,4.34,sin_candidato
cobeca,ADUANTAS COMP/REC 20MG X30 FC PHARMA,5.14,sin_candidato
