codigo,nombre,nivel,es_sistema
A,TRACTO ALIMENTARIO Y METABOLISMO,1,true
A01,PREPARADOS ESTOMATOLOGICOS,2,true
A01A,PREPARADOS ESTOMATOLOGICOS,3,true
A01AA,Agentes para la profilaxis de las caries,4,true
A01AA01,Fluoruro de sodio,5,true
A01AA02,Monofluorfosfato de sodio,5,true
A01AA03,Olaflur,5,true
A01AA04,Fluoruro de estaño,5,true
A01AA30,Combinaciones,5,true
A01AA51,"Fluoruro de sodio, combinaciones",5,true
A01AB,Antiinfecciosos y antisepticos para el tratamiento oral-local,4,true
A01AB02,Peroxido de hidrogeno,5,true
A01AB03,Clorhexidina,5,true
A01AB04,Amfotericina B,5,true
A01AB05,Polinoxilina,5,true
A01AB06,Domifeno,5,true
A01AB07,Oxiquinolina,5,true
A01AB08,Neomicina,5,true
A01AB09,Miconazol,5,true
A01AB10,Natamicina,5,true
A01AB11,Varios,5,true
A01AB12,Hexetidina,5,true
A01AB13,Tetraciclina,5,true
A01AB14,"Benzoxonio, cloruro de",5,true
A01AB15,"Tibezonio, ioduro de",5,true
A01AB16,Mepartricina,5,true
A01AB17,Metronidazol,5,true
A01AB18,Clotrimazol,5,true
A01AB19,Perborato de sodio,5,true
A01AB21,Clortetraciclina,5,true
A01AB22,Doxiciclina,5,true
A01AB23,Minociclina,5,true
A01AB91,Nistatina,5,true
A01AB92,"Nistatina y corticosteroides, combinaciones con",5,true
A01AB93,Povidona iodada,5,true
A01AC,Corticosteroides para tratamiento oral-local,4,true
A01AC01,Triamcinolona,5,true
A01AC02,Dexametasona,5,true
A01AC03,Hidrocortisona,5,true
A01AC53,"Hidrocortisona, combinaciones con",5,true
A01AC54,"Prednisolona, combinaciones",5,true
A01AD,Otros agentes para tratamiento oral-local,4,true
A01AD01,Epinefrina,5,true
A01AD02,Bencidamina,5,true
A01AD05,Acido acetilsalicilico,5,true
A01AD06,Adrenalona,5,true
A01AD07,Amlexanox,5,true
A01AD08,Becaplermina,5,true
A01AD11,Varios,5,true
A01AD92,Carbenoxolona,5,true
A02,AGENTES PARA EL TRATAMIENTO DE ALTERACIONES CAUSADAS POR ACIDOS,2,true
A02A,ANTIACIDOS,3,true
A02AA,Compuestos de magnesio,4,true
A02AA01,Carbonato de magnesio,5,true
A02AA02,Oxido de magnesio,5,true
A02AA03,Peroxido de magnesio,5,true
A02AA04,Hidroxido de magnesio,5,true
A02AA05,Silicato de magnesio,5,true
A02AA10,Combinaciones,5,true
A02AA91,"Magnesio trisilicato y aluminio hidroxido, combinaciones con",5,true
A02AA92,"Magnesio hidroxido y aluminio hidroxido, combinaciones con",5,true
A02AA93,"Sales de Magnesio, algeldrato y calcio carbonato, combinacio",5,true
A02AA94,Magnesio poligalacturonato,5,true
A02AB,Compuestos de aluminio,4,true
A02AB01,Hidroxido de aluminio,5,true
A02AB02,Algeldrato,5,true
A02AB03,Fosfato de aluminio,5,true
A02AB04,Carbonato sodico de dihidroxialuminio,5,true
A02AB05,Acetoacetato de aluminio,5,true
A02AB06,Aloglutamol,5,true
A02AB07,Glicinato de aluminio,5,true
A02AB10,Combinaciones,5,true
A02AB91,Aluminio aceglutamida,5,true
A02AC,Compuestos de calcio,4,true
A02AC01,Carbonato de calcio,5,true
A02AC02,Silicato de calcio,5,true
A02AC10,Combinaciones,5,true
A02AD,"Combinaciones y complejos de compuesto de aluminio, calcio y magnesio",4,true
A02AD01,Combinaciones de sales simples,5,true
A02AD02,Magaldrato,5,true
A02AD03,Almagato,5,true
A02AD04,Hidrotalcita,5,true
A02AD05,Almasilato,5,true
A02AD91,"Combinaciones de compuestos de aluminio, calcio y magnesio",5,true
A02AD92,"Combinaciones de compuestos de calcio, magnesio y sodio",5,true
A02AD93,Combinaciones de compuestos de aluminio y magnesio,5,true
A02AF,Antiacidos con carminativos,4,true
A02AF01,Magaldrato y carminativos,5,true
A02AF02,Combinaciones de sales simples y carminativos,5,true
A02AG,Antiacidos con antiespasmodicos,4,true
A02AH,Antiacidos con bicarbonato de sodio,4,true
A02AH91,Sodio bicarbonato,5,true
A02AX,Otras combinaciones con antiacidos,4,true
A02AX91,"Magnesio hidroxido, calcio carbonato y famotidina, combinaci",5,true
A02B,AGENTES CONTRA LA ULCERA PEPTICA Y EL REFLUJO GASTROESOFAGICO (RGE/GORD),3,true
A02BA,Antagonistas del receptor H2,4,true
A02BA01,Cimetidina,5,true
A02BA02,Ranitidina,5,true
A02BA03,Famotidina,5,true
A02BA04,Nizatidina,5,true
A02BA05,Niperotidina,5,true
A02BA06,Roxatidina,5,true
A02BA07,Ranitidina y citrato de bismuto,5,true
A02BA08,Lafutidina,5,true
A02BA51,"Cimetidina, combinaciones con",5,true
A02BA53,"Famotidina, combinaciones con",5,true
A02BA91,Ebrotidina,5,true
A02BB,Prostaglandinas,4,true
A02BB01,Misoprostol,5,true
A02BB02,Enprostilo,5,true
A02BC,Inhibidores de la bomba de protones,4,true
A02BC01,Omeprazol,5,true
A02BC02,Pantoprazol,5,true
A02BC03,Lansoprazol,5,true
A02BC04,Rabeprazol,5,true
A02BC05,Esomeprazol,5,true
A02BC06,Dexlansoprazol,5,true
A02BC12,Zastaprazan,5,true
A02BD,Combinaciones para la erradicacion del Helicobacter pylori,4,true
A02BD01,"Omeprazol, amoxicilina y metronidazol",5,true
A02BD02,"Lansoprazol, tetraciclinas y metronidazol",5,true
A02BD03,"Lansoprazol, amoxicilina y metronidazol",5,true
A02BD04,"Pantoprazol, amoxicilina y claritromicina",5,true
A02BD05,"Omeprazol, amoxicilina y claritromicina",5,true
A02BD06,"Esomeprazol, amoxicilina y claritromicina",5,true
A02BD07,"Lansoprazol, amoxicilina y claritromicina",5,true
A02BD08,"Subcitrato de bismuto, tetraciclina y metronidazol",5,true
A02BX,Otros agentes contra la ulcera peptica y el reflujo gastroesofagico (RGE/GORD),4,true
A02BX01,Carbenoxolona,5,true
A02BX02,Sucralfato,5,true
A02BX03,Pirenzepina,5,true
A02BX04,"Metiosulfonio, cloruro de",5,true
A02BX05,Subcitrato de bismuto,5,true
A02BX06,Proglumida,5,true
A02BX07,Gefarnato,5,true
A02BX08,Sulglicotida,5,true
A02BX09,Acetoxolona,5,true
A02BX10,Zolimidina,5,true
A02BX11,Troxipida,5,true
A02BX12,Subnitrato de bismuto,5,true
A02BX13,Acido alginico,5,true
A02BX14,Rebamipida,5,true
A02BX51,"Carbenoxolona, combinaciones excluyendo psicolepticos",5,true
A02BX71,"Carbenoxolona, combinaciones con psicolepticos",5,true
A02BX77,"Gefarnato, combinaciones con psicolepticos",5,true
A02BX91,Zinc acexamato,5,true
A02BX92,Dosmalfato,5,true
A02X,OTROS AGENTES CONTRA ALTERACIONES CAUSADAS POR ACIDOS,3,true
A03,AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO E INTESTINO,2,true
A03A,AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTOMAGO,3,true
A03AA,"Anticolinergicos sinteticos, esteres con grupo amino terciario",4,true
A03AA01,Oxifenciclimina,5,true
A03AA03,Camilofina,5,true
A03AA04,Mebeverina,5,true
A03AA05,Trimebutina,5,true
A03AA06,Rociverina,5,true
A03AA07,Dicicloverina,5,true
A03AA08,Dihexiverina,5,true
A03AA09,Difemerina,5,true
A03AA30,Piperidolato,5,true
A03AB,"Anticolinergicos sinteticos, compuestos de amonio cuaternario",4,true
A03AB01,"Bencilonio, bromuro de",5,true
A03AB02,"Glicopirronio, bromuro de",5,true
A03AB03,"Oxifenonio, bromuro de",5,true
A03AB04,Pentienato,5,true
A03AB05,Propantelina,5,true
A03AB06,"Otilonio, bromuro de",5,true
A03AB07,Metantelinio,5,true
A03AB08,Tridihexetilo,5,true
A03AB09,Isopropamida,5,true
A03AB10,Hexociclio,5,true
A03AB11,Poldina,5,true
A03AB12,Mepenzolato,5,true
A03AB13,"Bevonio, metilsulfato de",5,true
A03AB14,Pipenzolato,5,true
A03AB15,Difemanilo,5,true
A03AB16,"(2-benzhidroxiloxietil)dietilmetilamonio, ioduro de",5,true
A03AB17,"Tiemonio, ioduro de",5,true
A03AB18,"Prifinio, bromuro de",5,true
A03AB19,"Timepidio, bromuro de",5,true
A03AB21,"Fenpiverinio, bromuro de",5,true
A03AB53,"Oxifenonio, bromuro de, combinaciones con",5,true
A03AC,"Antiespasmodicos sinteticos, amidas con aminas terciarias",4,true
A03AC02,Dimetilaminopropionilfenotiazina,5,true
A03AC04,Nicofetamida,5,true
A03AC05,Tiropramida,5,true
A03AD,Papaverina y derivados,4,true
A03AD01,Papaverina,5,true
A03AD02,Drotaverina,5,true
A03AD30,Moxaverina,5,true
A03AE,Agentes con efecto en los receptores de serotonina,4,true
A03AE01,Alosetron,5,true
A03AE02,Tegaserod,5,true
A03AE03,Cilansetron,5,true
A03AE04,Prucaloprida,5,true
A03AX,Otros agentes contra padecimientos funcionales del estomago,4,true
A03AX01,Fenpiprano,5,true
A03AX02,Diisopromina,5,true
A03AX03,Clorbenzoxamina,5,true
A03AX04,Pinaverio,5,true
A03AX05,Fenoverina,5,true
A03AX06,Idanpramina,5,true
A03AX07,Proxazol,5,true
A03AX08,Alverina,5,true
A03AX09,Trepibutona,5,true
A03AX10,Isometepteno,5,true
A03AX11,Caroverina,5,true
A03AX12,Floroglucinol,5,true
A03AX13,Siliconas,5,true
A03AX15,"Menta piperita, aceite esencial de",5,true
A03AX30,Difeniltrimetilpropilamina,5,true
A03AX58,"Alverina, combinaciones con",5,true
A03B,"BELLADONA Y DERIVADOS, MONOFARMACOS",3,true
A03BA,"Alcaloides de la belladona, aminas terciarias",4,true
A03BA01,Atropina,5,true
A03BA03,Hiosciamina,5,true
A03BA04,"Belladona, alcaloides totales de",5,true
A03BB,"Alcaloides semisinteticos de la belladona, compuestos de amonio cuaternario",4,true
A03BB01,Butilescopolamina,5,true
A03BB02,Metilatropina,5,true
A03BB03,Metilescopolamina,5,true
A03BB04,"Fentonio, bromuro de",5,true
A03BB05,"Cimetropio, bromuro de",5,true
A03BB91,Octatropina metilbromuro,5,true
A03C,ANTIESPASMODICOS EN COMBINACION CON PSICOLEPTICOS,3,true
A03CA,Agentes anticolinergicos sinteticos en combinacion con psicolepticos,4,true
A03CA01,Isopropamida y psicolepticos,5,true
A03CA02,"Clidinio, bromuro de, y psicolepticos",5,true
A03CA03,Oxifenciclimina y psicolepticos,5,true
A03CA04,"Otilonio, bromuro de, y psicolepticos",5,true
A03CA05,"Glicopirronio, bromuro de, y psicolepticos",5,true
A03CA06,"Bevonio, metilsulfato de, y psicolepticos",5,true
A03CA07,"Ambutonio, bromuro de, y psicolepticos",5,true
A03CA08,Difemanilo y psicolepticos,5,true
A03CA30,"Emepronio, bromuro de, y psicolepticos",5,true
A03CA34,Propantelina y psicolepticos,5,true
A03CB,Belladona y derivados en combinacion con psicolepticos,4,true
A03CB01,Metilescopolamina y psicolepticos,5,true
A03CB02,"Belladona, alcaloides totales de y psicolepticos",5,true
A03CB03,Atropina y psicolepticos,5,true
A03CB04,Metilhomatropina y psicolepticos,5,true
A03CB31,Hiosciamina y psicolepticos,5,true
A03CC,Otros antiespasmodicos en combinacion con psicolepticos,4,true
A03D,ANTIESPASMODICOS EN COMBINACION CON ANALGESICOS,3,true
A03DA,Agentes anticolinergicos sinteticos en combinacion con analgesicos,4,true
A03DA01,Tropenzilina y analgesicos,5,true
A03DA02,Pitofenona y analgesicos,5,true
A03DA03,"Bevonio, metilsulfato de, y analgesicos",5,true
A03DA04,"Ciclonio, bromuro de, y analgesicos",5,true
A03DA05,Camilofina y analgesicos,5,true
A03DA06,"Trospio, cloruro de, y analgesicos",5,true
A03DA07,"Tiemonio, ioduro de, y analgesicos",5,true
A03DA91,Drofenina y analgesicos,5,true
A03DA92,Octatropina metilbromuro y analgesicos,5,true
A03DB,Belladona y derivados en combinacion con analgesicos,4,true
A03DB04,Butilescopolamina y analgesicos,5,true
A03DB91,Atropina y analgesicos,5,true
A03DB92,"Atropina, papaverina y analgesicos",5,true
A03DC,Otros antiespasmodicos en combinacion con analgesicos,4,true
A03DC91,Papaverina y analgesicos,5,true
A03DC92,Pramiverina y analgesicos,5,true
A03E,ANTIESPASMODICOS Y ANTICOLINERGICOS EN COMBINACION CON OTROS FARMACOS,3,true
A03EA,"Antiespasmodicos, psicolepticos y analgesicos en combinacion",4,true
A03ED,Antiespasmodicos en combinacion con otros farmacos,4,true
A03ED91,"Papaverina y magnesio sulfato, combinaciones con",5,true
A03ED92,"Butilescopolamina bromuro y metoclopramida, combinaciones co",5,true
A03ED93,Metilescopolamina combinada con otras sustancias,5,true
A03F,PROPULSIVOS,3,true
A03FA,Propulsivos,4,true
A03FA01,Metoclopramida,5,true
A03FA02,Cisaprida,5,true
A03FA03,Domperidona,5,true
A03FA04,Bromoprida,5,true
A03FA05,Alizaprida,5,true
A03FA06,Cleboprida,5,true
A03FA07,Itoprida,5,true
A03FA08,Cinitaprida,5,true
A03FA51,"Metoclopramida, combinaciones con",5,true
A03FA56,"Cleboprida, combinaciones con",5,true
A04,ANTIEMETICOS Y FARMACOS PARA LAS NAUSEAS,2,true
A04A,ANTIEMETICOS Y FARMACOS PARA LAS NAUSEAS,3,true
A04AA,Antagonistas de receptores de serotonina (5-HT3),4,true
A04AA01,Ondansetron,5,true
A04AA02,Granisetron,5,true
A04AA03,Tropisetron,5,true
A04AA04,Dolasetron,5,true
A04AA05,Palonosetron,5,true
A04AA55,"Palonosetron, combinaciones",5,true
A04AD,Otros antiemeticos,4,true
A04AD01,Escopolamina,5,true
A04AD02,Oxalato de cerio,5,true
A04AD04,Clorobutanol,5,true
A04AD05,Metopimazina,5,true
A04AD10,Dronabinol,5,true
A04AD11,Nabilona,5,true
A04AD12,Aprepitant,5,true
A04AD13,Casopitant,5,true
A04AD14,Rolapitant,5,true
A04AD51,"Escopolamina, combinaciones con",5,true
A04AD54,"Clorobutanol, combinaciones con",5,true
A04AD93,"Dixirazina, combinaciones con",5,true
A04AD95,Lobulo anterior hipofisis extracto,5,true
A04AD96,"Alcaloides de la belladona, combinaciones con",5,true
A04AD97,"Corteza suprarrenal, combinaciones con",5,true
A04AD98,"Cerio oxalato y sodio citrato, combinaciones con",5,true
A05,TERAPIA BILIAR Y HEPATICA,2,true
A05A,TERAPIA BILIAR,3,true
A05AA,Acidos biliares y derivados,4,true
A05AA01,Acido quenodesoxicolico,5,true
A05AA02,Acido ursodesoxicolico,5,true
A05AA03,Acido colico,5,true
A05AA04,Acido obeticolico,5,true
A05AA06,Acido norucolico,5,true
A05AB,Preparados para la terapia del tracto biliar,4,true
A05AB01,Nicotinil metilamida,5,true
A05AX,Otros farmacos para terapia biliar,4,true
A05AX01,Piprozolina,5,true
A05AX02,Himecromona,5,true
A05AX03,Ciclobutirol,5,true
A05AX04,cloruro de maralixibat,5,true
A05AX05,Odevixibat,5,true
A05AX06,Elafibranor,5,true
A05AX07,Seladelpar,5,true
A05AX08,Linerixibat,5,true
A05AX91,Dimecrotico acido,5,true
A05AX92,"Emodina, combinaciones con",5,true
A05B,"TERAPIA HEPATICA, LIPOTROPICOS",3,true
A05BA,Terapia hepatica,4,true
A05BA01,"Arginina, glutamato de",5,true
A05BA03,Silimarina,5,true
A05BA04,Citiolona,5,true
A05BA05,Epomediol,5,true
A05BA06,"Ornitina, oxoglurato de",5,true
A05BA07,Tidiacico arginina,5,true
A05BA08,Acido glicirricico,5,true
A05BA11,Resmetirom,5,true
A05C,FARMACOS PARA TERAPIA BILIAR Y LIPOTROPICOS EN COMBINACION,3,true
A06,FARMACOS PARA EL ESTREÑIMIENTO,2,true
A06A,FARMACOS PARA EL ESTREÑIMIENTO,3,true
A06AA,"Suavizantes, emolientes",4,true
A06AA01,Parafina liquida,5,true
A06AA02,Docusato de sodio,5,true
A06AA51,"Parafina blanda, combinaciones con",5,true
A06AB,Laxantes de contacto,4,true
A06AB01,Oxifenisatina,5,true
A06AB02,Bisacodilo,5,true
A06AB03,Dantron,5,true
A06AB04,Fenoftaleina,5,true
A06AB05,Aceite de ricino,5,true
A06AB06,Glicosidos de sena,5,true
A06AB07,Cascara,5,true
A06AB08,Picosulfato de sodio,5,true
A06AB09,Bisoxatina,5,true
A06AB20,Laxantes de contacto en combinacion,5,true
A06AB30,Laxantes de contacto en combinacion con alcaloides de belladona,5,true
A06AB52,"Bisacodilo, combinaciones con",5,true
A06AB53,"Dantron, combinaciones con",5,true
A06AB56,"Glicosidos de sena, combinaciones con",5,true
A06AB57,"Cascara, combinaciones con",5,true
A06AB58,"Picosulfato de sodio, combinaciones con",5,true
A06AC,Formadores de volumen,4,true
A06AC01,Ispaghula (semillas de psyllium),5,true
A06AC02,Etulosa,5,true
A06AC03,Esterculia,5,true
A06AC05,Linaza,5,true
