nombre,nombre_generico_en,sinonimos,descripcion,atc_codigo
Abacavir,Abacavir,,,
Abacavir Clorhidrato,Abacavir,,,
Abacavir Sulfato,Abacavir,,,
Abaloparatida,Abaloparatide,,,
Abatacept,Abatacept,,,
Abedul,,,,
Abedul Extracto Seco Corteza (5-10 : 1): Solvente De Extraccion: N-heptano 95% (p/p),Heptanoic Acid,,,
Abemaciclib,Abemaciclib,,,
Abiraterona,Abiraterone,,,
Abiraterona Acetato,Abiraterone,,,
Abrocitinib,Abrocitinib,,,
Acalabrutinib,Acalabrutinib,,,
Acalabrutinib Maleato,,,,
Acamprosato,Acamprosate,,,
Acarbosa,Acarbose,,,
Aceclofenaco,Aceclofenac,,,
Aceite  Pescado,Veneno De Abeja Aceite De Vibora,,,
Aceite De Pescado Rico En Omega 3,Veneno De Abeja Aceite De Vibora,,,
Aceite De Soja  Aceite De Oliva,Veneno De Abeja Aceite De Vibora,,,
Aceite Esencial De Carum Carvi L,Veneno De Abeja Aceite De Vibora,,,
Aceite Etiodado,Veneno De Abeja Aceite De Vibora,,,
Aceite Eucalipto,Veneno De Abeja Aceite De Vibora,,,
Aceite Lavandula Angustifolia Mill,Lavandula Angustifolia Whole Extract,,,
Aceite Mineral,,,,
Aceite Oliva,Veneno De Abeja Aceite De Vibora,,,
Aceite Ricino,Veneno De Abeja Aceite De Vibora,,,
Aceite Rosmarinus Officinalis,Rosmarinus Officinalis Preparation,,,
Aceite Semilla Soja,Veneno De Abeja Aceite De Vibora,,,
Aceite Soja Purificado,Veneno De Abeja Aceite De Vibora,,,
Acelerador Serico De Conversion De Protombina,,,,
Acenocumarol,Acenocoumarol,,,
Acetamidocaproico Acido,Iocetamic Acid,,,
Acetaminofen,Acetaminophen,,,
Acetato Calcio,Calcium Acetate,,,
Acetato Magnesio Tetrahidrato,Magnesium Acetate,,,
Acetato Potasio,Potassium,,,
Acetato Sodio,Sodium Acetate,,,
Acetato Sodio Trihidrato,Sodium Acetate,,,
Acetazolamida,Acetazolamide,,,
Acetico Acido,Acetic Acid,,,
Acetilcisteina,Acetylcysteine,,,
Acetilcolina,Acetylcholine,,,
Acetilcolina Cloruro,Acetylcholine,,,
Acetileno,Acetylene,,,
Acetilsalicilato Lisina,Aspirin,,,
Acetilsalicilico Acido,Aspirin,,,
Acetiltirosina,,,,
Acetoaminofenol,,,,
Acetohidroxamico Acido,Acetohydroxamic Acid,,,
Acexamato Zinc,Zinc,,,
Acexamico Acido,Acexamic Acid,,,
Achillea Millefolium,Achillea Millefolium Extract,,,
Acibar,,,,
Acicloguanosina,Acyclovir,,,
Aciclovir,Acyclovir,,,
Aciclovir Sodico,Acyclovir,,,
Acido Dimercaptosuccinico,Dimercaptosuccinate,,,
Acido Folico Hidrato,Folic Acid,,,
Acido Fusidico Hemihidrato,Fusidic Acid,,,
Acido Ibandronico Sodio Monohidrato,Ibandronic Acid,,,
Acido Obeticolico,Obeticholic Acid,,,
Acido Oxoglurico,Iocetamic Acid,,,
Acido Parahidroxibenzoico,Iocetamic Acid,,,
Acido Zoledronico,Zoledronic Acid,,,
Acido Zoledronico Monohidrato,Zoledronic Acid,,,
Acidos Omega 3,Omega-3 Fatty Acids,,,
Acidos Omega 3 Esteres Etilicos,Omega-3 Acid Ethyl Esters (usp),,,
Acitretina,Acitretin,,,
Aclidinio,Aclidinium,,,
Aclidinio Bromuro,Aclidinium,,,
Acoramidis,Acoramidis,,,
Acoramidis Hidrocloruro,Acoramidis,,,
Actaea Racemosa,Actaea Racemosa Whole Extract,,,
Adalimumab,Adalimumab,,,
Adapaleno,Adapalene,,,
Adefovir,Adefovir,,,
Adefovir Dipivoxil,Adefovir Dipivoxil,,,
Adenosilcobalamina,Cobamamide,,,
Adenosilcobamida,,,,
Adenosina,Adenosine,,,
Adenosina Trifosfato Disodio,Adenosine,,,
Adeps Lanae,,,,
Adrenalina,Adrenalin,,,
Adriamicina,Adriamycin,,,
Aescina,Escin,,,
Aesculus Hippocastanum,,,,
Aesculus Hippocastanum Tintura Madre,,,,
Afamelanotida,Afamelanotide,,,
Afatinib,Afatinib,,,
Aficamten,Aficamten,,,
Aflibercept,Aflibercept,,,
Agalsidasa Alfa,Agalsidase Alfa,,,
Agalsidasa Beta,Agalsidase Beta,,,
Aglutinogeno De Fimbrias De Toxoide Pertussis,,,,
Agni Casti Fruto Extracto Seco,Chaste Tree Preparation,,,
Agnus Castus Exto Seco,Chaste Tree Preparation,,,
Agomelatina,,,,
Agomelatina Acido Citrico,Citric Acid,,,
Agomelatina Urea,Urea,,,
Agropyrum Repens,Aspergillus Repens Allergenic Extract,,,
Agropyrum Repens Exto Seco,Aspergillus Repens Allergenic Extract,,,
Agua Oxigenada,Water,,,
Agua Para Preparaciones Inyectables,Para-cresol,,,
Aire Ambiental,Air,,,
Alanina,Alanine,,,
Alantoina,Allantoin,,,
Albendazol,Albendazole,,,
Albumina,,,,
Albumina Humana,,,,
Albutrepenonacog Alfa,Albutrepenonacog Alfa,,,
Alcachofa,,,,
Alcanfor,,,,
Alcaravea,,,,
Alcohol,Ethanol,,,
Alcohol Etilico,Ethanol,,,
Alcohol Pantotenilico,Ethanol,,,
Alcohol Tricloro Butilico Terciario,Ethanol,,,
Aldesleucina,Aldesleukin,,,
Alectinib,Alectinib,,,
Alectinib Hidrocloruro,Alectinib,,,
Alemtuzumab,Alemtuzumab,,,
Alendronato Sodio,Ganciclovir Sodium,,,
Alendronato Sodio Monohidrato,Ganciclovir Sodium,,,
Alendronato Sodio Trihidrato,Ganciclovir Sodium,,,
Alendronico Acido,Alendronic Acid,,,
Alfa Amilcinamaldehido,Alglucosidase Alfa,,,
Alfacalcidol,Alfacalcidol,,,
Alfa-cetoglutarico Acido,Alglucosidase Alfa,,,
Alfa-hidroxipropionico,Alglucosidase Alfa,,,
Alfa-1-antitripsina,Alpha 1-antitrypsin,,,
Alfentanilo,Alfentanil,,,
Alfentanilo Hidrocloruro,Alfentanil,,,
Alfuzosina,Alfuzosin,,,
Alfuzosina Hidrocloruro,Alfuzosin,,,
Algeldrato,Aluminum Hydroxide Gel,,,
Alginato Sodio,Ganciclovir Sodium,,,
Alginico Acido,Alginic Acid,,,
Alglucosidasa Alfa,Alglucosidase Alfa,,,
Alilguayacol,,,,
Alimemazina,Trimeprazine,,,
Alimemazina Tartrato,Trimeprazine,,,
Alipogen Tiparvovec,,,,
Alirocumab,Alirocumab,,,
Aliskireno,Aliskiren,,,
Alitretinoina,Alitretinoin,,,
Almagato,Aluminum Hydroxide / Magnesium Carbonate,,,
Almasilato,Aluminum Magnesium Silicate,,,
Almendras Amargas,,,,
Almidon Hidroxietil,,,,
Almotriptan,Almotriptan,,,
Aloe Capensis,,,,
Aloe Ferox Mill.,Aloe Ferox Leaf Preparation,,,
Aloe Ferox Polvo,Aloe Ferox Leaf Preparation,,,
Alogliptina,Alogliptin,,,
Alopurinol,Allopurinol,,,
Aloysia Citriodora,Aloysia Citrodora Flower Oil,,,
Alpelisib,Alpelisib,,,
Alprazolam,Alprazolam,,,
Alprostadil,Alprostadil,,,
Alquilbencildimetilamonio,,,,
Alquitran Hulla,,,,
Alquitran Mineral,,,,
Alteplasa,Alteplase,,,
Althaea Officinalis L.,Althaea Officinalis Root Extract,,,
Althaea Officinalis L Exto Liquido,Althaea Officinalis Root Extract,,,
Althaea Officinalis L. Extracto Seco,Althaea Officinalis Root Extract,,,
Althea Officinalis L.,,,,
Altizida,,,,
Aluminio,Aluminum,,,
Aluminio Aminoacetato Basico,Aluminum,,,
Aluminio Fosfato,Aluminum,,,
Aluminio Hidroxido,Aluminum Hydroxide,,,
Aluminio Hidroxido Coloidal,Aluminum Hydroxide,,,
"Aluminio Hidroxido-magnesio Carbonato,coprecipitado",Aluminum Hydroxide,,,
Aluminio Potasio Sulfato,Potassium Sulfate,,,
Amantadina,Amantadine,,,
Amantadina Hidrocloruro,Amantadine,,,
Amapola De California,Eschscholzia Californica Extract,,,
Ambrisentan,Ambrisentan,,,
Ambroxol,Ambroxol,,,
Ambroxol Hidrocloruro,Ambroxol,,,
Ametocaina,,,,
Ametopterina,Aminopterin,,,
Amfotericina B,Amphotericin B,,,
Amida Del Acido Nicotinico,Niacin,,,
Amida Del Acido Salicilico,Salicylic Acid,,,
Amidotrizoato Calcio,Calcium,,,
Amidotrizoato Meglumina,Meglumine,,,
Amidotrizoato Sodio,Ganciclovir Sodium,,,
Amidotrizoico Acido,Iocetamic Acid,,,
Amifampridina,Amifampridine,,,
Amifostina,Amifostine,,,
Amikacina,Amikacin,,,
Amikacina Sulfato,Amikacin,,,
Amilasa,,,,
Amilmetacresol,Amylmetacresol,,,
Amilorida,Amiloride,,,
Amilorida Hidrocloruro,Amiloride,,,
Aminoacetico Acido,Dihydroxyaluminum Aminoacetate,,,
Aminoacridina,Aminacrine,,,
Aminolevulinato Metilo,Methyl 5-aminolevulinate,,,
Aminolevulinico Acido,Aminolevulinic Acid,,,
Aminolevulinico Hidrocloruro,Aminolevulinate,,,
Aminosidina,Paromomycin,,,
Amiodarona,Amiodarone,,,
Amiodarona Hidrocloruro,Amiodarone,,,
Amisulprida,Amisulpride,,,
Amitriptilina,Amitriptyline,,,
Amitriptilina Hidrocloruro,Amitriptyline,,,
Amivantamab,Amivantamab,,,
Amlodipino,Amlodipine,,,
Amlodipino Besilato,Amlodipine,,,
Amlodipino Maleato,Amlodipine,,,
Ammoidina,Methoxsalen,,,
Amoniaco,Ammoniac,,,
Amonio,Ammonio Methacrylate Copolymer Type A,,,
Amonio Molibdato,Ammonium Molybdate,,,
Amorolfina,Amorolfine,,,
Amorolfina Hidrocloruro,Amorolfine,,,
Amoxicilina,Amoxicillin,,,
Amoxicilina Sodica,Amoxicillin,,,
Amoxicilina Trihidrato,Amoxicillin,,,
Ampicilina,Ampicillin,,,
Ampicilina Sodica,Ampicillin,,,
Ampicilina Trihidrato,Ampicillin,,,
Ampicilina-benzatina,Ampicillin,,,
Amsacrina,,,,
Anagrelida,Anagrelide,,,
Anagrelida Hidrocloruro,Anagrelide,,,
Anagrelida Hidrocloruro Monohidrato,Anagrelide,,,
Anakinra,Anakinra,,,
Anastrozol,Anastrozole,,,
Andexanet Alfa,Andexanet Alfa,,,
Andusomeran,"Sars-cov-2 (covid-19) Vaccine, Mrna-1273 Omicron (xbb.1.5)",,,
Aneurina,Potentilla Anserina Whole Extract,,,
Angelica Arcangelica,,,,
Angelica Archangelica Raiz,Angelica Archangelica Root Extract,,,
Angiotensina Ii,Angiotensin Ii,,,
Angiotensina Ii Acetato,Angiotensin Ii,,,
Anidulafungina,Anidulafungin,,,
Anifrolumab,Anifrolumab,,,
Anis,12 Hr Carbamazepine 100 Mg Extended Release Oral Capsule,,,
Ansamicina,Rifabutin,,,
Antazolina,Antazoline,,,
Antazolina Fosfato,Antazoline,,,
Anticuerpo Humanizado Frente Al Antigeno De Maduracion De Celulas B Conjugado Con Maleimidocaproil Monometil Auristatin F,,,,
"Anticuerpo Monoclonal Biespecifico Contra Cd3 Y Bcma, De Isotipo Igg2k Humanizado Y Modificado En La Region Fc",,,,
Antigeno De Una Cepa Similar A B  (linaje Victoria),Influenza B Virus B/victoria/705/2018 Antigen,,,
Antigeno De Una Cepa Similar A B  (linaje Yamagata),,,,
Antigeno Hepatitis A,,,,
Antigeno Oligosacarido Meningococo Grupo A,Meningococcal Group A Polysaccharide,,,
Antigeno Oligosacarido Meningococo Grupo C,Meningococcal Group C Polysaccharide,,,
Antigeno Oligosacarido Meningococo Grupo W135,,,,
Antigeno Oligosacarido Meningococo Grupo Y,Meningococcal Polysaccharide Vaccine Group Y,,,
Antigeno Polisacarido Meningococo Gr W-135,Meningococcal Polysaccharide Vaccine Group W-135,,,
Antigeno Polisacarido Meningococo Gr Y,Meningococcal Polysaccharide Vaccine Group Y,,,
Antigeno Polisacarido Meningococo Grupo A,Meningococcal Group A Polysaccharide,,,
Antigeno Polisacarido Meningococo Grupo C,Meningococcal Group C Polysaccharide,,,
Antigeno Recombinante De La Glicoproteina E (ge) Del Virus De La Varicela Zoster (vvz),,,,
Antigeno Salmonella Typhi Polisacarido Capsular Vi,,,,
Antigeno Superficie Hepatitis B,Hepatitis B Surface Antigen Vaccine,,,
Antigenos Superficie Virus Gripe,Influenza B Virus Antigen,,,
Antitrombina Iii,"Antithrombin Iii, Human",,,
Antitrombina Iii Humana,"Antithrombin Iii, Human",,,
Antraquinona,"9,10-anthraquinone",,,
Antraquinona Glucosidos,,,,
Apalutamida,Apalutamide,,,
Apap,Acetaminophen,,,
Apio De Montaña,Arnica Montana Extract,,,
Apixaban,Apixaban,,,
Apomorfina,Apomorphine,,,
Apomorfina Hidrocloruro,Apomorphine,,,
Apomorfina Hidrocloruro Hemihidrato,Apomorphine,,,
Apraclonidina,Apraclonidine,,,
Apraclonidina Hidrocloruro,Apraclonidine,,,
Apremilast,Apremilast,,,
Aprepitant,Aprepitant,,,
Aprotinina,Aprotinin,,,
Aquocobalamina,,,,
Arabinosido Citosina,Cytosine,,,
Arandano Rojo,,,,
Arandano Rojo Purificado Extracto Seco,"Coagulation Factor Ix, Human",,,
Arctostaphylos Uva Ursi (gayuba) Extracto Seco 10 %,,,,
